Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	TIM3uffreqParameter.1	TIM3uffreqParameter.2	TIM3uffreqParameter.3	TIM3uffreqParameter.4	RateAC-Standard_TIM3uf	RateAG-Standard_TIM3uf	RateAT-Standard_TIM3uf	RateCG-Standard_TIM3uf	RateCT-Standard_TIM3uf	RateGT-Standard_TIM3uf	fastUcldStdev	fastRatesStat.mean	fastRatesStat.variance	fastRatesStat.coefficientOfVariation	fastUcldMean	popSize	CoalescentConstant	proportionInvariant	
0	-11589.804569745671	-11490.38594375191	-99.41862599376205	-11490.38594375191	210.35828419227659	1281.8811516721553	0.30382056363549026	0.19991723215677554	0.2516098722201745	0.24465233198755942	0.1103769641039887	2.7261688416712397	0.29516523748233825	0.1103769641039887	2.462746755156108	0.29516523748233825	0.13876714601115459	5.2858530945299446E-5	7.428800366445595E-11	0.15440993204508563	5.512005082480521E-5	165.48786348063732	-120.60390971116452	0.7165577016465858	
1	-11563.44114854762	-11490.244345744413	-73.19680280320638	-11490.244345744413	146.93049750092914	876.9211429285559	0.30338280214718094	0.19918529991322975	0.2479302589226103	0.24950163901697858	0.10088446250540256	2.5799335081214703	0.22390055908993445	0.10088446250540256	2.770496448687857	0.22390055908993445	0.10722159309574798	8.024109264393124E-5	4.2234686361295725E-11	0.08082294305614411	8.016624914615846E-5	186.05080467261735	-113.717023467316	0.7165577016465858	
2	-11533.04186575109	-11488.48961843404	-44.55224731705042	-11488.48961843404	116.96591298741312	664.4988426874964	0.30310792369198886	0.20208294785095468	0.23969442220454612	0.2551147062525101	0.07246283805876978	2.4544386355922954	0.36845104808077794	0.07246283805876978	2.6637335921286103	0.36845104808077794	0.04436791940775936	9.826920761748293E-5	2.272704343581414E-11	0.04825836035096445	9.980740221613712E-5	83.58799015859245	-107.33270579579646	0.7165577016465858	
3	-11450.80325165966	-11488.384507050612	37.58125539095229	-11488.384507050612	104.48325610425283	585.4658179701624	0.3077080095626785	0.20612584154011693	0.24350636880341944	0.2426597800937848	0.12360596092378198	2.545355729495536	0.36156046837160355	0.12360596092378198	2.4843114119136946	0.36156046837160355	0.004999997555678428	1.2180662897456935E-4	5.143728284245367E-13	0.005874121339576543	1.2222735229354948E-4	139.28663113333997	-105.3426560716658	0.7165577016465858	
4	-11561.47576771864	-11488.07611402956	-73.39965368908106	-11488.07611402956	92.14018532735798	537.4428410489639	0.3126543956043341	0.19672508818131507	0.23686725242116485	0.2537532637931858	0.17231020203796862	2.2489306645353597	0.2955293773241873	0.17231020203796862	2.8153901767403293	0.2955293773241873	0.09182805456459242	1.337398055392422E-4	2.3248914437032032E-10	0.11160399843649156	1.344159924358988E-4	92.31494308725657	-102.54596098111332	0.7165577016465858	
5	-11569.589494562171	-11488.054370188058	-81.53512437411337	-11488.054370188058	107.07925508085529	648.4058269882415	0.30338280214718094	0.2014215794785681	0.24562534481186768	0.24957027356238287	0.08031669511266541	2.317619758322264	0.30050417462921575	0.08031669511266541	2.9207385021939745	0.30050417462921575	0.11878158109807607	1.1411239150289107E-4	2.102228496989621E-10	0.12577410377894407	1.1551033837817528E-4	165.6038403859309	-108.4057415661369	0.7165577016465858	
6	-11579.400891897272	-11487.489878267694	-91.91101362957922	-11487.489878267694	133.05374246375416	846.4343475404393	0.3097624125474387	0.20612584154011693	0.2444409702627554	0.23967077564968864	0.11910408342350133	2.6166048410111644	0.35424298428462314	0.11910408342350133	2.4367010235725877	0.35424298428462314	0.13043461943254836	8.251489376518047E-5	1.4690346925567288E-10	0.1445714280272839	8.48757831516442E-5	194.61028861009328	-114.39614787624161	0.7165577016465858	
7	-11555.562547518452	-11487.489769049373	-68.07277846907883	-11487.489769049373	106.44095744232544	700.402471194085	0.29804536541667054	0.20208294785095468	0.24034890396507802	0.2595227827672965	0.11761652918305693	2.364131253343721	0.2864051689887926	0.11761652918305693	2.8278253503125814	0.2864051689887926	0.0731724713036818	9.503163345085625E-5	5.88635570060596E-11	0.08092094721845207	9.329992893355019E-5	91.62517760954896	-110.7806495907518	0.7165577016465858	
8	-11582.707361737792	-11487.187972792102	-95.51938894568963	-11487.187972792102	147.31234938128236	921.2378851250417	0.31429645936479955	0.19991723215677554	0.24891116475604502	0.2368751437223796	0.1170193463434266	2.461586123151238	0.3285923852199957	0.1170193463434266	2.6471904137219187	0.3285923852199957	0.1741124099610446	7.147679462378102E-5	1.1134401010976652E-10	0.1537580859561687	6.994816960076873E-5	113.92010397374726	-114.7687012819567	0.7165577016465858	
9	-11563.75198283318	-11486.822729177247	-76.92925365593261	-11486.822729177247	112.49329790099304	621.4676893895087	0.30790269694189903	0.2000641823206682	0.24956802802286818	0.24246509271456426	0.1550340439868108	2.494311575738837	0.31910658120064445	0.1550340439868108	2.557407173886254	0.31910658120064445	0.15069203948704638	1.1837459482488339E-4	2.3231330040032157E-10	0.12500811180815	1.2489344533964694E-4	97.43276234100455	-104.41796223634687	0.7165577016465858	
10	-11570.071540153038	-11486.808908245217	-83.26263190782127	-11486.808908245217	167.96168726237255	966.7619533292169	0.30338280214718094	0.19631717935944493	0.2533755083507853	0.2469245101425884	0.06658303035799851	2.5867930335971017	0.20837760980471703	0.06658303035799851	2.863285686077469	0.20837760980471703	0.11409476489902563	7.028281856133485E-5	5.7373177959351877E-11	0.11151541940976528	6.736688822231614E-5	160.56867042465842	-114.26208558941275	0.7165577016465858	
11	-11488.415399072459	-11486.699186052296	-1.7162130201631847	-11486.699186052296	206.24289184296364	1350.7755794347659	0.30338280214718094	0.19981971925811984	0.24953211914305856	0.24726535945164024	0.10448772232792404	2.3098764492772483	0.27097686315681424	0.10448772232792404	2.939194379753277	0.27097686315681424	0.012529889795051036	5.205486670546683E-5	2.5283842841714133E-13	0.009667056067952845	5.187900015344576E-5	183.2741295734936	-124.28661784882298	0.7165577016465858	
12	-11560.261082155577	-11486.274552163082	-73.98652999249558	-11486.274552163082	127.53447968831466	714.0785689534844	0.30338280214718094	0.2014215794785681	0.25496744240701363	0.24022817596723695	0.07524213845309881	2.4972685952496025	0.24837651704039043	0.07524213845309881	2.8554940937634203	0.24837651704039043	0.09153584241557786	1.0556778436870578E-4	9.813039684307075E-11	0.09670686177388521	9.969435700862564E-5	148.82447313869514	-108.90580618061027	0.7165577016465858	
13	-11577.232482282014	-11486.010194933167	-91.22228734884702	-11486.010194933167	186.56820554657688	1153.781126053654	0.3039635784388366	0.19798301668129756	0.25078804542822525	0.24726535945164024	0.11496266351633068	2.3310359981562723	0.29343235782483656	0.11496266351633068	2.852173959161395	0.29343235782483656	0.12569736832575273	6.356416433757671E-5	5.0413071399341144E-11	0.11534949636859186	6.0046006710437226E-5	201.78701199090463	-119.46678008214543	0.7165577016465858	
14	-11590.69239868161	-11485.769930888864	-104.92246779274454	-11485.769930888864	197.59062192953303	1168.658019823195	0.30114020146146475	0.2014215794785681	0.25017285960832647	0.24726535945164024	0.07524213845309881	2.565669637277999	0.24837651704039043	0.07524213845309881	2.787093051735024	0.24837651704039043	0.21284744576672723	6.105183813627853E-5	1.1354228139720632E-10	0.16912309119013616	6.370099635371933E-5	166.57514206742343	-118.28779017609081	0.7165577016465858	
15	-11491.137664473583	-11485.54340860164	-5.594255871942612	-11485.54340860164	103.79679704512463	656.7290808442509	0.30371002511107376	0.2017242731459315	0.24470991154947164	0.2498557901935227	0.07524213845309881	2.4214025722345105	0.2602334022130533	0.07524213845309881	2.9076463464331863	0.2602334022130533	0.018834219060638	9.808241995829949E-5	2.997860845743269E-12	0.017641579197068928	9.772754584374227E-5	81.39619706438887	-107.47819871571744	0.7165577016465858	
