Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	gammaShape	TPM2uffreqParameter.1	TPM2uffreqParameter.2	TPM2uffreqParameter.3	TPM2uffreqParameter.4	RateAC-Standard_TPM2uf	RateAG-Standard_TPM2uf	RateAT-Standard_TPM2uf	RateCG-Standard_TPM2uf	RateCT-Standard_TPM2uf	RateGT-Standard_TPM2uf	proportionInvariant	fastUcldStdev	fastRatesStat.mean	fastRatesStat.variance	fastRatesStat.coefficientOfVariation	fastUcldMean	popSize	CoalescentConstant	
10	-6266.333658800196	-6335.230466534132	68.89680773393555	-6335.230466534132	0.7601622415682902	2.8134096839542995	0.4600118798597281	0.2608571634520416	0.1984720047355167	0.28049180372329635	0.26017902808914545	0.5145066500223188	2.35994929732115	0.5145066500223188	0.12554405265653018	2.35994929732115	0.12554405265653018	0.0	0.04642024724055578	0.03346231170185335	2.004184251174258E-6	0.041705709792783804	0.034097553041935534	0.3389157489941661	-0.4073457653595671	
11	-6253.778214055526	-6335.0216396313	81.2434255757734	-6335.0216396313	1.11606425101003	4.383162041346126	0.19981397469933143	0.255227352489391	0.18551981891976002	0.30810002651303725	0.2511528020778119	0.3735916935149691	2.5009553490065053	0.3735916935149691	0.12545295747852547	2.5009553490065053	0.12545295747852547	0.0	0.027801433393812327	0.018362723769641962	1.7635274975037892E-7	0.022919025344391157	0.01826211728061049	0.5101750963086976	-9.878759868850755	
12	-6329.249882926379	-6334.994553850183	5.744670923804975	-6334.994553850183	0.46585395975340427	1.8017675502729809	0.2663026330066284	0.25207209193315894	0.20497137901638135	0.2860589153420623	0.25689761370839753	0.5557550100468985	2.2648942360424162	0.5557550100468985	0.1793507539106849	2.2648942360424162	0.1793507539106849	0.0	0.28468438973915156	0.05182914494565072	2.024043662862382E-4	0.2796808166847335	0.05601093634924706	0.21440253076095414	7.308040042832241	
13	-6336.39147624061	-6334.917469170299	-1.4740070703106538	-6334.917469170299	0.2558232813842651	1.0339069579494518	0.8804745592990896	0.2600648489985508	0.19180171837198803	0.30670692152093704	0.2414265111085242	0.42358103858630247	2.514337324008965	0.42358103858630247	0.06208163740473224	2.514337324008965	0.06208163740473224	0.0	0.36487845694521875	0.09114683720921357	0.0010762382913228061	0.3840751716411041	0.08391971743708877	0.15192733199273528	17.287150594092353	
14	-6144.3331816265745	-6334.701899979599	190.3687183530245	-6334.701899979599	1.4396018106776327	5.8101588271247095	0.23791490306751847	0.26089490481565547	0.1977541171986122	0.29586572823418505	0.2454852497515474	0.4532699729690114	2.5009553490065053	0.4532699729690114	0.04577467802448318	2.5009553490065053	0.04577467802448318	0.0	0.0013571744916362218	0.016562002154323237	3.706546837831475E-10	0.0011630758366547329	0.016552311528664584	0.675828864350793	-16.181493085368913	
15	-6273.185222625885	-6333.97526107252	60.7900384466348	-6333.97526107252	0.3692112264766198	1.3563094045948134	0.8804745592990896	0.2615177090193271	0.1903488583512118	0.30670692152093704	0.2414265111085242	0.40850940178380124	2.4452695574645054	0.40850940178380124	0.14622104075169276	2.4452695574645054	0.14622104075169276	0.0	0.08656543796884676	0.0759455982055991	3.0098777277242768E-5	0.07131043860533122	0.0759978465778452	0.18032261399364635	14.751557915435534	
16	-6340.5916816861945	-6333.909104336643	-6.682577349551478	-6333.909104336643	0.4065645669954693	1.6607310461233897	1.1881840772004484	0.2672557037867777	0.1903488583512118	0.2990775917528874	0.24331784610912321	0.3832028489219547	2.5145215499491744	0.3832028489219547	0.10227560112887017	2.5145215499491744	0.10227560112887017	0.0	0.4895949537351619	0.05897138285200744	5.186450249195106E-4	0.3941976194397783	0.061238641673426616	0.21458431447612678	8.569197527864885	
17	-6279.894527289835	-6333.815575878262	53.92104858842714	-6333.815575878262	0.9264976385887201	3.654625312545997	0.2917170957383936	0.257764828835262	0.1903488583512118	0.3007335107357144	0.2511528020778119	0.3735916935149691	2.476271434220992	0.3735916935149691	0.1501368722640385	2.476271434220992	0.1501368722640385	0.0	0.06223873332912161	0.027496099889629953	1.6391286372580949E-6	0.046768646730814274	0.027144704921053617	0.5951694521611713	-7.234927479111349	
18	-6227.527602436058	-6333.806888372409	106.27928593635085	-6333.806888372409	0.4256689183722761	1.556153994528212	0.33266575155453576	0.25800353400224535	0.19491846547973374	0.2880012477407617	0.25907675277725933	0.42046913672321085	2.47985921350382	0.42046913672321085	0.09967164977296902	2.47985921350382	0.09967164977296902	0.0	0.018927264395104112	0.058577422034914915	1.4105120471504448E-6	0.020191666144495336	0.05857039455394307	0.1401678106807381	9.173097908713743	
19	-6161.556529917086	-6333.566427590866	172.00989767377965	-6333.566427590866	0.428220515056434	1.5561927918285337	0.33266575155453576	0.2482700357098473	0.19491846547973374	0.2893816120733774	0.26742988673704166	0.42003784941083433	2.4802905008161966	0.42003784941083433	0.09967164977296902	2.4802905008161966	0.09967164977296902	0.0	0.0033434025493362727	0.06968240601701278	6.988399629363859E-8	0.0037907651836093436	0.06969721885772953	0.2821969425791406	11.37592677025745	
