Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	TIM3uffreqParameter.1	TIM3uffreqParameter.2	TIM3uffreqParameter.3	TIM3uffreqParameter.4	RateAC-Standard_TIM3uf	RateAG-Standard_TIM3uf	RateAT-Standard_TIM3uf	RateCG-Standard_TIM3uf	RateCT-Standard_TIM3uf	RateGT-Standard_TIM3uf	fastUcldStdev	fastRatesStat.mean	fastRatesStat.variance	fastRatesStat.coefficientOfVariation	fastUcldMean	popSize	CoalescentConstant	proportionInvariant	
0	-11575.027388409468	-11491.448844435654	-83.57854397381288	-11491.448844435654	134.0994204477005	808.2225893366947	0.30389061991836713	0.1900433386354603	0.25957804721944366	0.24648799422672893	0.10781719248218326	2.511482065704549	0.353048220559688	0.10781719248218326	2.5667871082117073	0.353048220559688	0.1198401023599939	9.580272858212218E-5	1.345627031710858E-10	0.1197954331736113	9.570480730824734E-5	106.33257643759804	-111.72369130610213	0.7379414730062842	
1	-11540.153711430125	-11490.847296913349	-49.30641451677599	-11490.847296913349	85.83040377918996	530.8961594551757	0.3006067752879871	0.1955722490291617	0.2619045879448984	0.24191638773795288	0.09292377502056992	2.5115656642653197	0.2802513065917722	0.09292377502056992	2.7420841725099954	0.2802513065917722	0.0739676978481065	1.2326470462199624E-4	4.767217406108097E-11	0.0559093587394849	1.2113287203954481E-4	93.80576454121287	-102.56328675467307	0.7379414730062842	
2	-11560.570016072183	-11490.43482854177	-70.13518753041318	-11490.43482854177	128.23913560346386	771.4371428755403	0.30253624282181296	0.19587063954332465	0.2619045879448984	0.23968852968996412	0.1091962414974284	2.662715509641807	0.28230009769806197	0.1091962414974284	2.5542918119672113	0.28230009769806197	0.06820095658588865	8.791207279539724E-5	5.3256051363303076E-11	0.08162780917232632	8.835290780595753E-5	120.80103498017033	-110.4835946401523	0.7379414730062842	
3	-11606.682182062988	-11489.620778158383	-117.06140390460425	-11489.620778158383	106.61573370049402	670.7676667996046	0.3006067752879871	0.1955722490291617	0.2619045879448984	0.24191638773795288	0.09292377502056992	2.5115656642653197	0.3744303985774493	0.09292377502056992	2.553725988538641	0.3744303985774493	0.37055713493242803	1.0740832402015889E-4	1.2837692168424041E-9	0.34705683566794404	1.0546172543764665E-4	128.2320067107789	-107.75483654712615	0.7379414730062842	
4	-11455.003693084966	-11487.5167328718	32.513039786834256	-11487.5167328718	104.10460341652785	625.721217687917	0.2949877999263889	0.20249438046116053	0.2619045879448984	0.24061323166755227	0.10527145366974056	2.453110501647027	0.3221704614631945	0.10527145366974056	2.6920056680871016	0.3221704614631945	0.008337138858455207	1.3099472123062673E-4	7.900340438473629E-13	0.0067797239224342	1.3104003440390043E-4	83.51532022954015	-105.26560027100675	0.7379414730062842	
5	-11534.406896840845	-11487.09698862715	-47.3099082136942	-11487.09698862715	100.63120785675953	612.576522390475	0.30175429148830996	0.1845959842798801	0.2685980143587731	0.24505170987303693	0.1485241537347452	2.309269240023462	0.3167407852606492	0.1485241537347452	2.7602008819857478	0.3167407852606492	0.05413380789180994	1.1688875039527592E-4	4.4850168634970036E-11	0.05646367194705311	1.1828447098352025E-4	86.03926620680502	-105.05034648031477	0.7379414730062842	
6	-11567.856641279486	-11486.933399046246	-80.92324223324005	-11486.933399046246	121.98501454567776	670.7213295327092	0.30211946958222136	0.18935673493745264	0.26567215941706274	0.24285163606326335	0.09797514073001236	2.5799873319839954	0.3193377389478364	0.09797514073001236	2.585386908660306	0.3193377389478364	0.11918571677666354	1.0770120815982934E-4	2.0080256101445578E-10	0.1293854032382311	1.102099811212278E-4	122.99934159803817	-106.91700022052405	0.7379414730062842	
7	-11553.79054751986	-11486.828559567892	-66.96198795196813	-11486.828559567892	99.31888348430833	613.1446855930054	0.2952579468955046	0.19223881571103654	0.26619376193026195	0.246309475463197	0.08061201767555631	2.44509351214184	0.3167407852606492	0.08061201767555631	2.7602008819857478	0.3167407852606492	0.10948832266216633	1.199144587514381E-4	1.1525191094636456E-10	0.0871948279361593	1.2457021420094944E-4	103.53992478691586	-105.84174193634766	0.7379414730062842	
8	-11423.70293321347	-11486.528951665892	62.82601845242181	-11486.528951665892	90.57025974715143	549.7147266070125	0.30211946958222136	0.1940337535665398	0.2609951407879756	0.24285163606326335	0.09797514073001236	2.4942766240862144	0.22902042882714502	0.09797514073001236	2.8517322367994695	0.22902042882714502	0.0033179393090006924	1.4613943117761465E-4	2.3276934711176753E-13	0.0033018671641100576	1.46089260837583E-4	108.57481789462803	-103.96955604251086	0.7379414730062842	
9	-11553.748611518104	-11486.511421640562	-67.23718987754206	-11486.511421640562	98.00467914947842	587.1499178315676	0.2949877999263889	0.20491669716940822	0.2619045879448984	0.23819091495930458	0.10527145366974056	2.453110501647027	0.33781324428568243	0.10527145366974056	2.660720102442126	0.33781324428568243	0.07788885724189562	1.333176204791806E-4	1.4833469167894452E-10	0.09108521335993332	1.327300501078721E-4	134.286601338357	-105.48662108620375	0.7379414730062842	
10	-11539.881692589604	-11486.424481269845	-53.45721131975962	-11486.424481269845	100.44129196548586	606.7019085968612	0.3006046932768401	0.19830865684535903	0.2591702621398481	0.24191638773795288	0.08401515129447651	2.4204961856590614	0.35455758208364235	0.08401515129447651	2.7023583475847004	0.35455758208364235	0.06553101872715145	1.0395558950641817E-4	4.76794851143989E-11	0.0662742350730096	1.041748196888825E-4	100.702611203004	-105.12248189071306	0.7379414730062842	
11	-11509.084618729788	-11485.991549042254	-23.09306968753392	-11485.991549042254	112.07028309217408	607.6895222597167	0.2987891655474365	0.2068308057226378	0.2521700617727209	0.2422099669572049	0.10527145366974056	2.4682496889162455	0.3270449892505166	0.10527145366974056	2.667117425243239	0.3270449892505166	0.03156743448733142	1.1623436804337462E-4	1.384920723347415E-11	0.03178280305971915	1.1719645025333687E-4	87.88137898035127	-103.65858020466933	0.7379414730062842	
12	-11431.555605946523	-11484.261329615007	52.70572366848259	-11484.261329615007	109.39749020803906	714.0521511759518	0.3031398819735173	0.1874351295384611	0.25993383239742507	0.24949115609059658	0.049833396920205365	2.3509416773907708	0.3326042570089974	0.049833396920205365	2.884183014750823	0.3326042570089974	0.0033031349476175453	1.0733054594737943E-4	1.3981411568863953E-13	0.003482486546171476	1.0747441464920564E-4	152.63635598384633	-110.44280824547474	0.7379414730062842	
13	-11517.055113999055	-11484.000156856238	-33.05495714281699	-11484.000156856238	108.54548512914883	687.6059168833393	0.2955065109779045	0.19937797871371288	0.25644244258491405	0.24867306772346875	0.05368479751713225	2.4225508403124247	0.31799819183605676	0.05368479751713225	2.834083180981196	0.31799819183605676	0.035556628067970046	1.0809065420049013E-4	1.3320901055313865E-11	0.03376149662896878	1.0718106689155264E-4	92.95231074731811	-109.58696596935927	0.7379414730062842	
14	-11579.26849259442	-11483.756639301058	-95.51185329336127	-11483.756639301058	89.17680938934666	545.0541901034632	0.29458660005988113	0.20622027820590635	0.2591702621398481	0.24002285959436456	0.08401515129447651	2.4204961856590614	0.29560748027610756	0.08401515129447651	2.82025855119977	0.29560748027610756	0.2352099672778617	1.2938684666743727E-4	7.334002405344575E-10	0.2075877211880256	1.4011325076313238E-4	58.465228692554	-103.96275711488072	0.7379414730062842	
15	-11551.958233715925	-11483.376024404988	-68.58220931093702	-11483.376024404988	100.33640005345573	624.031241306409	0.30323272553296615	0.20596885476169086	0.25153449418532364	0.2392639255200194	0.12262886593835098	2.4079477768602016	0.3700602247916446	0.12262886593835098	2.6066740416798067	0.3700602247916446	0.10833255769219285	1.2730972950300047E-4	1.2454070500324594E-10	0.08899791311461024	1.2289156503209308E-4	119.67167295568183	-105.85286080719844	0.7379414730062842	
16	-11546.581035533512	-11483.321796831691	-63.25923870182102	-11483.321796831691	182.39142415963693	1213.149017612391	0.30199982945529885	0.21179679876302193	0.24686184486664087	0.23934152691503852	0.09062506720904456	2.4512697992542067	0.32672637943993654	0.09062506720904456	2.71402730744783	0.32672637943993654	0.0523898035653869	5.438262169945148E-5	8.435856076648909E-12	0.05331946101017953	5.4458122598091475E-5	137.5831019213671	-123.69391499460197	0.7379414730062842	
17	-11508.351823544406	-11483.149205958694	-25.20261758571099	-11483.149205958694	162.6172316529622	1045.7823699545982	0.30048061284867356	0.1874351295384611	0.2548029124920084	0.257281345120857	0.07444035008674157	2.301727771057698	0.3243362025840391	0.07444035008674157	2.9007191236007395	0.3243362025840391	0.02541273268483174	6.395477997174598E-5	2.2161476932711554E-12	0.02300246614681852	6.463431439798854E-5	141.31463795216712	-117.36395140205101	0.7379414730062842	
18	-11560.02785387532	-11482.881519690629	-77.14633418468955	-11482.881519690629	91.12470210259394	551.6217245665982	0.29385778379959954	0.20090509259729533	0.2507579121982468	0.25447921140485846	0.10521539694233031	2.3037171318664753	0.4219943392651491	0.10521539694233031	2.6418633957185653	0.4219943392651491	0.14478860379734879	1.4160006934474425E-4	3.083589131689507E-10	0.12289364907661093	1.4029859555929442E-4	68.24805130794415	-103.08311085222617	0.7379414730062842	
19	-11468.439116486039	-11482.69130522803	14.252188741990961	-11482.69130522803	158.9046891088435	1046.6346041361076	0.294337932770203	0.19187879422648085	0.2663252822231671	0.24745799078014913	0.1399305428616753	2.4274996760694214	0.3252190597916225	0.1399305428616753	2.6422011186239818	0.3252190597916225	0.006214709114808084	6.878725284754778E-5	2.733160260849301E-13	0.007592424389822748	6.892476177011425E-5	269.20663157610716	-118.52021952849631	0.7379414730062842	
20	-11468.439116486039	-11482.69130522803	14.252188741990961	-11482.69130522803	158.9046891088435	1046.6346041361076	0.294337932770203	0.19187879422648085	0.2663252822231671	0.24745799078014913	0.1399305428616753	2.4274996760694214	0.3252190597916225	0.1399305428616753	2.6422011186239818	0.3252190597916225	0.006214709114808084	6.878725284754778E-5	2.733160260849301E-13	0.007592424389822748	6.892476177011425E-5	269.20663157610716	-118.52021952849631	0.7379414730062842	
21	-11552.330956069069	-11482.272508364005	-70.05844770506273	-11482.272508364005	181.65606125211326	1126.449364000568	0.30766764311683625	0.19867904991113336	0.24479044489544616	0.2488628620765844	0.16539702162082687	2.3722398364606776	0.297960831708487	0.16539702162082687	2.7010444568806933	0.297960831708487	0.080623985751151	6.50769953892895E-5	2.2551904990515544E-11	0.07154100519886249	6.690777381911615E-5	204.73280297631825	-118.13500712485488	0.7379414730062842	
