Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	TIM3uffreqParameter.1	TIM3uffreqParameter.2	TIM3uffreqParameter.3	TIM3uffreqParameter.4	RateAC-Standard_TIM3uf	RateAG-Standard_TIM3uf	RateAT-Standard_TIM3uf	RateCG-Standard_TIM3uf	RateCT-Standard_TIM3uf	RateGT-Standard_TIM3uf	proportionInvariant	fastUcldMean	fastUcldStdev	fastRatesStat.mean	fastRatesStat.variance	fastRatesStat.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5	
10	-11531.407786882208	-11489.288979318102	-42.11880756410656	-11489.288979318102	142.51192628882808	915.5875097612975	0.3070927439346384	0.2005572862467159	0.2606775571069588	0.23167241271168715	0.10922723915650796	2.522945420566596	0.4311543956057679	0.10922723915650796	2.396291309908852	0.4311543956057679	0.801	7.433364531404196E-5	0.036484678386825814	7.500188247295098E-5	5.443929118101729E-12	0.03149163068201996	-99.44848756354014	12.011317217862064	29.17763380044788	143.37541990666352	195.54968207455045	1.8716517704625817	1.0	3.0	6.0	7.0	2.0	
11	-11591.981704286207	-11489.10261640007	-102.87908788613572	-11489.10261640007	73.73581788735763	459.461719731675	0.3070927439346384	0.1985835131737569	0.2606775571069588	0.23364618578464616	0.09075511534778281	2.4998420619265893	0.46811466879617813	0.09075511534778281	2.382418369785489	0.46811466879617813	0.801	1.6521132164541567E-4	0.22083957752909467	1.6855502665134422E-4	1.1199265132537381E-9	0.20660959287496683	-92.03829213511982	18.624222809915032	27.710540829285392	98.12924438387074	72.54225730666975	25.390992237239242	3.0	3.0	6.0	5.0	2.0	
12	-11585.6683676736	-11489.008371651345	-96.65999602225384	-11489.008371651345	53.46134629698123	343.2383953071274	0.29160897547834586	0.2079186544862919	0.2619812780409304	0.23849109199443197	0.07057583846766884	2.637691763250802	0.3909205635791272	0.07057583846766884	2.4393154326556057	0.3909205635791272	0.801	2.0569460207914327E-4	0.2735130504412635	1.9701257564595697E-4	1.8319397140079845E-9	0.2231307444165504	-81.35429393156582	22.752194997998707	47.22335494241566	82.18978188664062	107.70732014525781	4.811873279411353	4.0	2.0	6.0	3.0	4.0	
13	-11460.805515283238	-11488.9026191128	28.097103829560968	-11488.9026191128	134.47751025157177	835.1024018036898	0.3070927439346384	0.1985835131737569	0.2606775571069588	0.23364618578464616	0.07982204540121193	2.522945420566596	0.45249906207804713	0.07982204540121193	2.4124123644748856	0.45249906207804713	0.801	8.382354358311664E-5	0.004455013818330892	8.386300118065606E-5	1.7358009770134574E-13	0.00496711570027516	-100.15889429838143	29.116337124126833	75.4063240209158	128.44596471217366	216.93178434635476	14.968540938264855	6.0	2.0	2.0	7.0	2.0	
14	-11620.616316871978	-11488.803016691192	-131.81330018078586	-11488.803016691192	138.12772531267504	899.551688668554	0.29953512756266193	0.20716037799291306	0.24626579709140517	0.24703869735302011	0.17996684564861332	2.4413160329390946	0.43610759563159823	0.17996684564861332	2.326535084500482	0.43610759563159823	0.801	8.606883993807583E-5	0.3273471341648695	8.197432433891452E-5	7.637146447396535E-10	0.32539344166403494	-98.99975364239354	37.924609652907584	99.18115202740648	162.42410067403503	391.26095524201764	31.617114538981138	6.0	2.0	6.0	1.0	4.0	
15	-11541.990512841709	-11488.596261020111	-53.39425182159715	-11488.596261020111	103.68625706347046	666.36595562414	0.3001109390971883	0.20716037799291306	0.2456899855568788	0.24703869735302011	0.17996684564861332	2.6331405891785367	0.38708422145750565	0.17996684564861332	2.232757276609225	0.38708422145750565	0.801	1.007292498244746E-4	0.046674053449810335	1.0050474915202238E-4	2.2369208962236793E-11	0.046953348741364004	-93.79965067777205	67.72229263807442	161.25835212605418	651.6556734343797	4.942572387384686	3.7550008619281483	11.0	3.0	1.0	2.0	2.0	
16	-11513.86480473433	-11488.593294095208	-25.27151063912221	-11488.593294095208	62.25463099105613	361.42793178224935	0.30082115146340527	0.2045694564599074	0.24853213635562038	0.24607725572106715	0.20131859907984398	2.3662306219984313	0.3264931554856762	0.20131859907984398	2.5781458688705285	0.3264931554856762	0.801	2.0467510233688184E-4	0.03406765789516107	2.085768153618879E-4	5.758686083590424E-11	0.03706020472767206	-82.83499532672795	6.349870232792983	7.287829268922064	27.461053665825986	54.479615223059824	23.688437243554894	1.0	5.0	2.0	7.0	4.0	
17	-11557.92969079224	-11488.408832682044	-69.5208581101969	-11488.408832682044	135.65262073488623	869.8607272508627	0.3047662317544303	0.19740336175478412	0.261861387517146	0.2359690189736398	0.024159044537861177	2.522945420566596	0.3997750270828704	0.024159044537861177	2.6291864361919406	0.3997750270828704	0.801	7.680563151296061E-5	0.06128460615187187	7.871136958681379E-5	2.3336124521998053E-11	0.06282083539955138	-103.53181393665196	9.286597811096001	23.00543500288487	44.39643089171312	187.19345099987552	19.942940291679594	1.0	3.0	5.0	8.0	2.0	
18	-11490.575534787764	-11488.215106164398	-2.3604286233653986	-11488.215106164398	93.97906979194211	574.3023203146447	0.3070927439346384	0.1985835131737569	0.2520412276203667	0.24228251527123826	0.108406285018257	2.524587328843098	0.39929183495804227	0.108406285018257	2.4600164312043034	0.39929183495804227	0.801	1.238941856242511E-4	0.01499172292499609	1.2372237446012558E-4	2.4343344693301268E-12	0.012618725821252836	-91.31199948892598	12.525763688133916	64.19430349425294	154.289124365951	308.7425571701746	39.724090925499766	7.0	1.0	6.0	3.0	2.0	
19	-11567.21020677252	-11488.042412439465	-79.16779433305658	-11488.042412439465	138.2415647934207	879.9725865296411	0.29953512756266193	0.20716037799291306	0.24626579709140517	0.24703869735302011	0.17996684564861332	2.4413160329390946	0.43610759563159823	0.17996684564861332	2.326535084500482	0.43610759563159823	0.801	7.992778364496742E-5	0.0670044492574958	8.038961659680133E-5	2.2892913189154876E-11	0.06030111727745284	-107.28107258283947	29.771087933930243	151.73736182481107	380.1310840281013	218.0570691328647	156.26452379595474	5.0	8.0	2.0	1.0	3.0	
20	-11546.079259820777	-11487.92958186245	-58.1496779583269	-11487.92958186245	76.44375107812009	470.34172922888627	0.3077830086999371	0.19397538721737845	0.2464579404043466	0.25178366367833804	0.13955191337947465	2.3700475928265465	0.4843873122286433	0.13955191337947465	2.382073955957218	0.4843873122286433	0.801	1.5841116586934976E-4	0.07958095278082686	1.6112195435318919E-4	1.3905870952053556E-10	0.07303554248738246	-85.24675270559109	6.870918670461751	21.976769264936244	44.107008706114634	91.20568532081502	1.3269402882586192	3.0	4.0	5.0	5.0	2.0	
21	-11594.633473701895	-11487.644555307319	-106.98891839457553	-11487.644555307319	86.49726568931601	543.8356021626834	0.3070927439346384	0.1985835131737569	0.2606775571069588	0.23364618578464616	0.108406285018257	2.4998420619265893	0.45249906207804713	0.108406285018257	2.3783472438808024	0.45249906207804713	0.801	1.505718107081129E-4	0.2015164043992831	1.4545970692469935E-4	9.752506539652835E-10	0.21308108508793758	-93.21472697577909	22.66117282766547	15.549378835083523	31.936838405905338	135.39309097013384	15.046246353646804	4.0	2.0	3.0	8.0	2.0	
22	-11596.820497301265	-11487.60018526128	-109.22031203998503	-11487.60018526128	95.59935386559926	621.6345907390725	0.3047662317544303	0.19740336175478412	0.261861387517146	0.2359690189736398	0.10922723915650796	2.522945420566596	0.45249906207804713	0.10922723915650796	2.3536019769642937	0.45249906207804713	0.801	1.0811882354054535E-4	0.19150426777283883	1.1053860023201335E-4	3.887697985741602E-10	0.17925494029375832	-98.87851326245229	100.18629872040867	124.23341243760038	97.60356624099575	166.63103777963474	3.9505055657742747	4.0	3.0	3.0	7.0	2.0	
23	-11548.174128783494	-11487.401834628205	-60.77229415528893	-11487.401834628205	144.60449942241877	842.2905636515027	0.3070927439346384	0.1985835131737569	0.25626303308242815	0.23806070980917676	0.07146068938082135	2.424619844460462	0.5016618501311143	0.07146068938082135	2.429135076515667	0.5016618501311143	0.801	8.462862025646836E-5	0.04993341412624022	8.470131582986343E-5	1.4301156365491143E-11	0.04442423833214399	-106.03237140833747	33.08184422912559	60.0178609437655	74.74682367799836	163.63260393092324	51.15178463040296	5.0	2.0	1.0	9.0	2.0	
24	-11564.518963151795	-11487.386275724313	-77.13268742748203	-11487.386275724313	73.23615178651694	461.26467462035055	0.3125583768091554	0.1997805884547122	0.23587737105779455	0.25178366367833804	0.13955191337947465	2.3700475928265465	0.4843873122286433	0.13955191337947465	2.382073955957218	0.4843873122286433	0.801	1.5975273700429926E-4	0.15530660447535952	1.5827251231174258E-4	4.198230305552213E-10	0.1319877142629747	-82.77677830352293	18.19988130823628	49.33623487666269	116.53913391264284	17.934418841168217	0.781313790279001	6.0	5.0	4.0	2.0	2.0	
25	-11354.229377528083	-11487.3493842834	133.1200067553164	-11487.3493842834	94.0440466259819	602.4220584969598	0.29380865285361507	0.20086228113867563	0.2534802627624177	0.2518488032452918	0.20131859907984398	2.1205549477117436	0.4165125595630069	0.20131859907984398	2.6437827350025547	0.4165125595630069	0.801	1.0675963163138791E-4	4.2472522011583304E-4	1.0676612975902923E-4	1.6817701099643095E-15	3.841168715585311E-4	-94.63576948236016	33.51535261642921	45.701944612133836	146.29192972210717	127.66869883274164	16.540294695172555	5.0	1.0	3.0	6.0	4.0	
