Sample	popsSize0	demographic.alltrees.times.0	demographic.alltrees.times.1	demographic.alltrees.times.2	demographic.alltrees.times.3	demographic.alltrees.times.4	demographic.alltrees.times.5	demographic.alltrees.times.6	demographic.alltrees.times.7	demographic.alltrees.times.8	demographic.alltrees.times.9	demographic.alltrees.times.10	demographic.alltrees.times.11	demographic.alltrees.times.12	demographic.alltrees.times.13	demographic.alltrees.times.14	demographic.alltrees.times.15	demographic.alltrees.times.16	demographic.alltrees.times.17	demographic.alltrees.times.18	
0	4821.0	0.8424021992801158	2.1514710869215463	2.2490974077036157	5.870787826515411	5.898165317638998	6.056976918258215	6.332597397531828	7.481993050974268	11.367190026976559	11.591181276808712	14.573448690901564	14.734449635347147	14.935515280495345	21.69941508101438	25.152034051006922	34.63104514804792	34.68896300916941	270.0	78.21563671872983	
1	4844.0	1.89855634163591	2.248581521220842	2.9406184739850687	3.449299865649664	4.215869127782739	4.452927543401415	5.238477438805617	8.529668969734608	11.307974818840599	11.337443341064777	13.829260651217396	14.07614536389039	15.300156071752241	20.56779640237106	25.877980602375132	29.358577858570698	29.64329468850066	29.83271062939251	71.99575035028472	
2	4909.0	1.2157803630268376	1.4104654789070707	450.0	4.070230716803209	4.8637880874821775	6.483923494653183	6.775034514821556	7.110014735034284	1177.0	12.604723137239219	13.48787623910566	14.383303483353117	15.245746958134106	21.570420617810043	32.29937412154702	38.355375540729746	39.646819709214334	44.36747608046577	86.15647272748089	
3	4925.0	0.29954201304371963	1.517623890003037	2.1316405652628134	544.0	368.0	5.046667142981363	5.548671085724138	627.0	9.085530728515238	11.476350194195774	12.980523514427716	14.116454509925688	14.59257467884153	17.781879413111312	27.059072527247153	30.40501495948117	32.56547238995242	34.49436170495822	77.66504168765925	
4	4930.0	0.4140433104069956	2.3968845780635917	454.0	2.7525722325190856	4.176116314493854	4.2845504164214105	5.1866872120265555	7.298647709989993	9.209992085309665	12.937246158655135	13.877486538212018	14.613405152780565	16.590404662722676	18.1714278324461	28.911381399667107	34.60442171731062	36.56796295698174	284.0	75.11303440488817	
5	4961.0	1.5782026012224577	2.1828330432634004	464.0	2.5103625979983093	4.93854364426106	5.377264830269212	6.081209852833084	7.347992538153861	7.65257148970268	11.183241500787844	1015.0	14.09980131062612	16.44662675373138	19.824341306506547	26.646527191718505	33.05370200724703	33.558333250404765	37.86305696367573	75.33513449662452	
6	4974.0	3.837542844397504	4.232934710997625	4.256713477544437	560.0	4.350986993772878	4.5658435098566486	5.177760255538573	7.410422402104899	10.27909591201778	11.685892313491607	13.382188103307811	14.258071514163618	321.0	22.16255159356494	30.090818995415475	259.0	45.615604084364264	47.385548751965324	89.9260683108594	
7	4987.0	0.9122863291398033	1.9713795171575583	2.614137175892708	563.0	4.221411904411312	5.25086445792131	5.634810388256639	5.969121831537265	10.015197208432127	12.28161629057584	1019.0	14.098303202236735	17.509630632948785	21.655018823136643	22.724126788506226	30.011295147035618	31.52412798032259	32.37102471920383	79.57981259151553	
8	4999.0	0.32305099907783585	1.7806834769739908	2.4143457068652623	4.111735787229833	4.2365165924317125	4.653822215410159	6.32229869406784	6.9747392730607345	10.740623793755262	11.23426085467797	1022.0	14.19204758825282	16.988571867770005	20.97138855569544	28.807962388006658	36.37658328102437	36.9747446806965	38.743410684192085	380.0	
9	5009.0	0.28813417688610343	2.027116924809704	480.0	2.6834705530302045	4.164431888644344	5.067772191349022	5.218159645145803	5.972937062938485	7.179125971110722	10.691688508135002	1025.0	14.182259322136055	16.0393572416085	19.748867313758076	26.851035578603856	28.94088671272248	29.453603623314194	31.096594253011837	74.15916795599011	
10	5015.0	1.6040914339568815	1.6417877102854987	482.0	2.45399512871883	4.706184347265761	5.16847260189833	5.604985819857518	6.051674765852482	7.180142461537727	10.852563016685878	1026.0	14.059628443858799	15.43639532150091	20.774481693463812	25.206235536684723	32.386794293183975	33.184191596915014	33.431237815770544	78.72778945917926	
11	5023.0	1.6546652536868578	2.312296210813045	485.0	2.5859004664761187	4.081679340687074	4.755090350440497	6.029941221983549	8.88965263342169	1188.0	11.803962553018906	13.038556406186771	14.4225794902069	14.499305280751727	20.29302848709601	29.949757187544847	33.88819179978219	34.24287960767693	34.598264519815174	83.22010871743579	
12	5034.0	1.5162395028684443	1.848432444742528	2.049233779584526	571.0	4.625996025325733	4.682139206837064	5.178620456340099	5.486166004865353	9.608281586068642	12.122677515084803	12.495088856587415	360.0	14.460870822785495	20.571398886727167	24.0611345841342	32.608554235084185	34.14758982160316	37.10642323311153	77.23790252668692	
13	5035.0	2.0516365266716576	2.0594010482458316	2.071325702749178	572.0	381.0	4.142748868112349	5.373464019126601	657.0	10.58565325928501	12.386287037987842	12.666899354964059	14.153808196470848	21.464141939290002	21.940486337728643	34.96670884873683	40.57755124696459	43.911325396646966	48.98929861250064	101.68586687331839	
14	5035.0	2.0516365266716576	2.0594010482458316	2.071325702749178	572.0	381.0	4.142748868112349	5.373464019126601	657.0	10.58565325928501	12.386287037987842	12.666899354964059	14.153808196470848	21.464141939290002	21.940486337728643	34.96670884873683	40.57755124696459	43.911325396646966	48.98929861250064	101.68586687331839	
15	5035.0	2.0516365266716576	2.0594010482458316	2.071325702749178	572.0	381.0	4.142748868112349	5.373464019126601	657.0	10.58565325928501	12.386287037987842	12.666899354964059	14.153808196470848	21.464141939290002	21.940486337728643	34.96670884873683	40.57755124696459	43.911325396646966	48.98929861250064	101.68586687331839	
16	5053.0	1.0327369294246296	2.146969032103584	2.263138423700923	2.425246253136848	4.53197915697487	4.704299904104587	5.9887822456779105	6.461072386143606	7.602674677226489	724.0	11.527920742558521	14.123303373242365	18.543043668076912	18.850565716301396	26.03077062001288	32.246500782019375	32.8363293086483	33.70966286956232	70.201229578228	
17	5058.0	1.9056383947892641	1.9523932269033395	3.4548189840479893	577.0	4.042743873228034	5.218304542576206	6.11083490147621	7.415930736906745	8.929623902939468	11.717487028197297	1033.0	14.288701981878887	14.62375889739873	18.086858071212106	31.7372717594873	36.299409398721124	37.399251564768846	44.79378517130278	95.20362029717626	
18	5059.0	800.0	1.7566096231769137	1.8456487034687257	2.2168549953067256	4.137987833146212	4.398857236093448	5.093048711992147	7.717225511635533	9.062367056763343	11.203807850373195	12.835140851599746	14.146103123188858	14.792574100490441	327.0	23.64899786066973	28.808326581125975	30.509285065095085	291.0	65.23786329588964	
