Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	gammaShape	TPM2uffreqParameter.1	TPM2uffreqParameter.2	TPM2uffreqParameter.3	TPM2uffreqParameter.4	RateAC-Standard_TPM2uf	RateAG-Standard_TPM2uf	RateAT-Standard_TPM2uf	RateCG-Standard_TPM2uf	RateCT-Standard_TPM2uf	RateGT-Standard_TPM2uf	proportionInvariant	fastUcldStdev	fastRatesStat.mean	fastRatesStat.variance	fastRatesStat.coefficientOfVariation	fastUcldMean	popSize	CoalescentConstant	
21	-6349.514415353718	-6335.758541046774	-13.755874306944083	-6335.758541046774	388.84513321073837	1463.1161204993641	0.5677039949219511	0.2712907708694213	0.19884797858697695	0.27790177053374876	0.25195948000985297	0.40080768701327757	2.415718849400775	0.40080768701327757	0.18347346358594682	2.415718849400775	0.18347346358594682	0.0	0.015677156472549355	5.940717038038516E-5	9.931337915206745E-13	0.016751964599236606	5.949823420413592E-5	157.49895988404378	-118.0250910526185	
22	-6387.636888793564	-6335.713690875733	-51.92319791783158	-6335.713690875733	194.3711409213434	749.0291610739429	0.18479167170573932	0.2883519496370339	0.1758267998053808	0.27615494489348347	0.25966630566410187	0.4802816456697021	2.4384127967766225	0.4802816456697021	0.08130555755367584	2.4384127967766225	0.08130555755367584	0.0	0.06053063751582413	1.3415657582703606E-4	7.329847622477924E-11	0.06412661843572673	1.3448111402346882E-4	108.72661939173706	-104.89462717905597	
23	-6387.636888793564	-6335.713690875733	-51.92319791783158	-6335.713690875733	194.3711409213434	749.0291610739429	0.18479167170573932	0.2883519496370339	0.1758267998053808	0.27615494489348347	0.25966630566410187	0.4802816456697021	2.4384127967766225	0.4802816456697021	0.08130555755367584	2.4384127967766225	0.08130555755367584	0.0	0.06053063751582413	1.3415657582703606E-4	7.329847622477924E-11	0.06412661843572673	1.3448111402346882E-4	108.72661939173706	-104.89462717905597	
24	-6431.4510139478625	-6335.599641745837	-95.85137220202569	-6335.599641745837	182.38291230779484	661.5855765914059	0.29924879860606635	0.28992614455237814	0.17559979183285784	0.2874438167881008	0.24703024682666325	0.33248398612942937	2.495874934901948	0.33248398612942937	0.1716410789686231	2.495874934901948	0.1716410789686231	0.0	0.24860534043437918	1.5642839777721087E-4	1.750912817303386E-9	0.25056095528627925	1.7656374015772702E-4	60.704820422570315	-100.4508487133174	
25	-6400.551551638815	-6335.579297880895	-64.97225375791992	-6335.579297880895	190.53954913919915	727.9040145167172	0.4193935452415177	0.27245298013463193	0.19919193610205582	0.26936929296373846	0.2589857907995738	0.4547160063879649	2.3823383324837435	0.4547160063879649	0.1629456611282914	2.3823383324837435	0.1629456611282914	0.0	0.07316345848663328	1.3528846593754845E-4	1.5787845616674572E-10	0.09180906445932087	1.3870377169131236E-4	102.43119565807679	-103.16182782882368	
26	-6221.5792815846435	-6335.517132952264	113.93785136762007	-6335.517132952264	203.35125303653444	823.264145122861	0.4236990358254822	0.2723980495652973	0.20167282757560054	0.27573064432719274	0.25019847853190946	0.3875229322286894	2.478679450985345	0.3875229322286894	0.133797616785965	2.478679450985345	0.133797616785965	0.0	8.095227356333067E-4	1.1042633689088504E-4	7.816272315496056E-15	8.009803007935452E-4	1.1038677361143885E-4	99.55064869828604	-107.07796082344828	
27	-6474.42408405983	-6335.4789287764725	-138.94515528335765	-6335.4789287764725	359.2890881694137	1547.667791651601	1.126051059181979	0.2677308761819242	0.18802912091134033	0.2825263653246282	0.2617136375821073	0.4461306160010935	2.476831618671619	0.4461306160010935	0.07703776532728801	2.476831618671619	0.07703776532728801	0.0	0.31318164486343336	6.613431617428437E-5	7.582876950722326E-10	0.39620874066126804	6.799417851614677E-5	255.1843701022007	-120.73048186554236	
28	-6403.183365481164	-6335.380341710611	-67.80302377055368	-6335.380341710611	262.1656677174102	1070.6486878151366	0.5677039949219511	0.271113310722545	0.20143727591586014	0.27807923068062507	0.24937018268096978	0.40080768701327757	2.3758279058231038	0.40080768701327757	0.22336440716361822	2.3758279058231038	0.22336440716361822	0.0	0.07985553343755748	8.720438372042269E-5	4.3386377368897254E-11	0.07789054903973687	8.460511690451802E-5	120.88443132600756	-112.77679543768504	
29	-6403.183365481164	-6335.380341710611	-67.80302377055368	-6335.380341710611	262.1656677174102	1070.6486878151366	0.5677039949219511	0.271113310722545	0.20143727591586014	0.27807923068062507	0.24937018268096978	0.40080768701327757	2.3758279058231038	0.40080768701327757	0.22336440716361822	2.3758279058231038	0.22336440716361822	0.0	0.07985553343755748	8.720438372042269E-5	4.3386377368897254E-11	0.07789054903973687	8.460511690451802E-5	120.88443132600756	-112.77679543768504	
30	-6403.183365481164	-6335.380341710611	-67.80302377055368	-6335.380341710611	262.1656677174102	1070.6486878151366	0.5677039949219511	0.271113310722545	0.20143727591586014	0.27807923068062507	0.24937018268096978	0.40080768701327757	2.3758279058231038	0.40080768701327757	0.22336440716361822	2.3758279058231038	0.22336440716361822	0.0	0.07985553343755748	8.720438372042269E-5	4.3386377368897254E-11	0.07789054903973687	8.460511690451802E-5	120.88443132600756	-112.77679543768504	
31	-6430.815198979808	-6335.278149631407	-95.53704934840091	-6335.278149631407	336.04500040645945	1344.7441454864656	0.5677039949219511	0.2724953260007161	0.20143727591586014	0.276697215402454	0.24937018268096978	0.40080768701327757	2.43577447483246	0.40080768701327757	0.16341783815426203	2.43577447483246	0.16341783815426203	0.0	0.17258223811740114	8.17952935447933E-5	1.1101424719815152E-10	0.13373261000431477	8.284517253446497E-5	186.0633616261693	-116.97919516108105	
32	-6442.221957671043	-6335.224377343108	-106.9975803279347	-6335.224377343108	171.71644833800792	634.3837216819012	0.4236990358254822	0.2659115427035623	0.1991858186038134	0.27821765329897985	0.2566849853936444	0.3875229322286894	2.478679450985345	0.3875229322286894	0.133797616785965	2.478679450985345	0.133797616785965	0.0	0.26436323283085444	1.425650152649689E-4	1.911037408321243E-9	0.30406332265779573	1.4833825003461067E-4	91.03142281298977	-100.59308954093044	
33	-6380.217843950177	-6335.216385172886	-45.001458777291575	-6335.216385172886	396.4930547362885	1510.2680964851465	0.5677039949219511	0.27245298013463193	0.20143727591586014	0.27673956126853816	0.24937018268096978	0.40080768701327757	2.3758279058231038	0.40080768701327757	0.22336440716361822	2.3758279058231038	0.22336440716361822	0.0	0.0338648115261071	7.00208397111583E-5	5.996227601602885E-12	0.0348886895300964	6.940102588873005E-5	214.28697495945798	-118.24285760846877	
34	-6380.217843950177	-6335.216385172886	-45.001458777291575	-6335.216385172886	396.4930547362885	1510.2680964851465	0.5677039949219511	0.27245298013463193	0.20143727591586014	0.27673956126853816	0.24937018268096978	0.40080768701327757	2.3758279058231038	0.40080768701327757	0.22336440716361822	2.3758279058231038	0.22336440716361822	0.0	0.0338648115261071	7.00208397111583E-5	5.996227601602885E-12	0.0348886895300964	6.940102588873005E-5	214.28697495945798	-118.24285760846877	
35	-6380.217843950177	-6335.216385172886	-45.001458777291575	-6335.216385172886	396.4930547362885	1510.2680964851465	0.5677039949219511	0.27245298013463193	0.20143727591586014	0.27673956126853816	0.24937018268096978	0.40080768701327757	2.3758279058231038	0.40080768701327757	0.22336440716361822	2.3758279058231038	0.22336440716361822	0.0	0.0338648115261071	7.00208397111583E-5	5.996227601602885E-12	0.0348886895300964	6.940102588873005E-5	214.28697495945798	-118.24285760846877	
