#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:HRTV_L_BEAST" spec="beast.base.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:HRTV_L_BEAST" spec="beast.base.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:HRTV_L_BEAST" lower="0.0" name="popSize" spec="beast.base.inference.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:HRTV_L_BEAST" spec="beast.base.evolution.tree.TreeIntervals">
#                <tree id="Tree.t:HRTV_L_BEAST" spec="beast.base.evolution.tree.Tree">
#                    <trait id="dateTrait.t:HRTV_L_BEAST" spec="beast.base.evolution.tree.TraitSet" traitname="date" value="HRTV-23_T_L_2019=2019,HRTV-26_T_L_2019=2019,HRTV-100_T_L_2022=2022,HRTV-404_T_L_2021=2021,HRTV-187_T_L_2022=2022,HRTV-504_T_L_2019=2019,HRTV-056F_T_L_2023=2023,HRTV-432R_T_L_2023=2023,HRTV-642T_T_L_2023=2023,KJ740148_H_L_TN_2013=2013,OK480068.1_H_L_KY_2017=2017,OK480065.1_H_L_MO_2017=2017,MZ440342_T_L_NY_2018=2018,MZ440345_T_L_NY_2018=2018,NC_024495_H_L_MO_2009=2009,JX005847_H_L_MO_2009=2009,OQ688981.1_T_L_MO_2012=2012,OQ688987.1_T_L_MO_2012=2012,OQ688984.1_T_L_KS_2015=2015,OR322047.1_H_L_OK_2017=2017">
#                        <taxa id="TaxonSet.HRTV_L_BEAST" spec="beast.base.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.HRTV_L_BEAST"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="ClockPrior.c:HRTV_L_BEAST" name="distribution">
#            <parameter id="clockRate.c:HRTV_L_BEAST" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">0.0012566</parameter>
#            <Gamma id="Gamma.3" name="distr">
#                <parameter estimate="false" id="RealParameter.9" name="alpha" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.10" name="beta" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="PopSizePrior.t:HRTV_L_BEAST" name="distribution" x="@popSize.t:HRTV_L_BEAST">
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.7" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.8" lower="0.0" name="S" spec="beast.base.inference.parameter.RealParameter" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@HRTV_L_BEAST" id="treeLikelihood.HRTV_L_BEAST" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:HRTV_L_BEAST">
#            <siteModel id="SiteModel.s:HRTV_L_BEAST" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:HRTV_L_BEAST" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:HRTV_L_BEAST" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:HRTV_L_BEAST" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.801</parameter>
#                <substModel id="Standard_TIM3uf.s:HRTV_L_BEAST" spec="substmodels.nucleotide.TIM3uf">
#                    <parameter dimension="4" id="TIM3ufrates.s:HRTV_L_BEAST" lower="0.0" name="rates" spec="beast.base.inference.parameter.RealParameter">1.0 1.0 1.0 1.0</parameter>
#                    <frequencies id="TIM3ufFreqs.s:HRTV_L_BEAST" spec="beast.base.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="TIM3uffreqParameter.s:HRTV_L_BEAST" lower="0.0" name="frequencies" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:HRTV_L_BEAST" id="StrictClock.c:HRTV_L_BEAST" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	TIM3uffreqParameter.1	TIM3uffreqParameter.2	TIM3uffreqParameter.3	TIM3uffreqParameter.4	RateAC-Standard_TIM3uf	RateAG-Standard_TIM3uf	RateAT-Standard_TIM3uf	RateCG-Standard_TIM3uf	RateCT-Standard_TIM3uf	RateGT-Standard_TIM3uf	popSize	CoalescentConstant	clockRate
0	-14800.928335702085	-14749.993320622461	-50.93501507962359	-14749.993320622461	15.911769900403808	31.000813091583314	0.25	0.25	0.25	0.25	1.0	1.0	1.0	1.0	1.0	1.0	0.3	-41.376238761208654	0.0012566
1000	-12050.502595024422	-11975.729811711886	-74.7727833125361	-11975.729811711886	22.616842633091814	94.63959562264503	0.25	0.25	0.25	0.25	1.0	1.0	0.911992454484042	1.0	1.176015091031916	0.911992454484042	6.501339339822876	-63.16208680804422	9.429352678986647E-4
2000	-11951.00800323346	-11871.429867659224	-79.57813557423667	-11871.429867659224	25.18825627867211	113.27638212466252	0.25	0.25	0.25	0.25	1.0	1.0	0.911992454484042	1.0	1.176015091031916	0.911992454484042	12.07413046633901	-66.68741727800818	7.774899847142199E-4
3000	-11898.139030069466	-11814.0716810281	-84.06734904136592	-11814.0716810281	26.76729925742867	127.67082876178578	0.25528864520025457	0.24471135479974543	0.25138504975490805	0.24861495024509195	0.9483484762908019	1.0	0.911992454484042	0.9483484762908019	1.279318138450312	0.911992454484042	15.435948312095775	-70.33658009787305	5.529420618067638E-4
4000	-11869.1080733829	-11782.004926176312	-87.10314720658873	-11782.004926176312	26.709365260591166	138.76363806861366	0.25528864520025457	0.24471135479974543	0.25138504975490805	0.24861495024509195	0.9483484762908019	1.0875603227923756	0.8682122930878542	0.9483484762908019	1.279318138450312	0.8682122930878542	15.432962955840031	-73.37278665828464	5.529420618067638E-4
5000	-11844.38954941023	-11752.955865436126	-91.43368397410403	-11752.955865436126	32.04389991623719	167.78105588697957	0.25528864520025457	0.24471135479974543	0.25138504975490805	0.24861495024509195	0.9483484762908019	1.2344755859910728	0.8063374258094795	0.9483484762908019	1.2561526098083642	0.8063374258094795	21.350961779332952	-76.72155663530347	4.251607874637437E-4
6000	-11833.135885271364	-11741.190085946313	-91.9457993250503	-11741.190085946313	33.00490431733948	172.68273578993384	0.25528864520025457	0.24471135479974543	0.25138504975490805	0.24861495024509195	0.9483484762908019	1.322829574478064	0.7621604315659839	0.9483484762908019	1.2561526098083642	0.7621604315659839	21.350961779332952	-77.23367198624975	4.251607874637437E-4
7000	-11826.562168721177	-11734.458514221224	-92.10365449995358	-11734.458514221224	32.17079644600475	170.94124314043935	0.25528864520025457	0.24471135479974543	0.25138504975490805	0.24861495024509195	0.9483484762908019	1.322829574478064	0.7621604315659839	0.9483484762908019	1.2561526098083642	0.7621604315659839	20.63115115671758	-77.4706836170178	4.251607874637437E-4
8000	-11815.821611702439	-11723.313494535494	-92.50811716694514	-11723.313494535494	35.79747091494198	181.81064388506095	0.26411036179643627	0.24471135479974543	0.24256333315872636	0.24861495024509195	0.9483484762908019	1.3833377753841118	0.73190633111296	0.9483484762908019	1.2561526098083642	0.73190633111296	20.63115115671758	-77.87514628400936	4.251607874637437E-4
9000	-11822.460175320639	-11726.977786150397	-95.48238917024106	-11726.977786150397	34.199072343498024	190.59132774081587	0.26411036179643627	0.24471135479974543	0.24666411194068733	0.24451417146313098	0.9483484762908019	1.375665075509234	0.735742681050399	0.9483484762908019	1.2561526098083642	0.735742681050399	22.25759817486966	-80.67326471633143	4.251607874637437E-4
10000	-11808.426460838278	-11714.407075653473	-94.01938518480583	-11714.407075653473	33.127976013823016	178.83943119648694	0.26411036179643627	0.24471135479974543	0.24666411194068733	0.24451417146313098	0.9523272617760578	1.45390030578669	0.696625065911671	0.9523272617760578	1.2481950388378524	0.696625065911671	16.088580647753524	-79.9379075143172	4.251607874637437E-4
11000	-11818.222499873573	-11724.710906197897	-93.51159367567564	-11724.710906197897	33.326697334278734	175.8044127930286	0.26411036179643627	0.24471135479974543	0.24883698950349853	0.24234129390031978	0.9523272617760578	1.45390030578669	0.696625065911671	0.9523272617760578	1.2481950388378524	0.696625065911671	22.273575125871563	-78.70078585798011	4.251607874637437E-4
12000	-11798.066101330387	-11701.961148157596	-96.10495317279063	-11701.961148157596	36.47127886767139	197.13678462191808	0.2731433334284185	0.24471135479974543	0.24883698950349853	0.23330832226833753	0.9523272617760578	1.45390030578669	0.696625065911671	0.9523272617760578	1.2481950388378524	0.696625065911671	24.935201824076653	-80.86391117711663	3.618082058294116E-4
13000	-11785.236521924982	-11689.396294664684	-95.84022726029856	-11689.396294664684	38.07403542088829	199.76780973369318	0.2731433334284185	0.24471135479974543	0.24883698950349853	0.23330832226833753	0.9523272617760578	1.582505594712553	0.5951311802595729	0.9523272617760578	1.3225775212161854	0.5951311802595729	24.935201824076653	-80.59918526462457	3.618082058294116E-4
14000	-11781.631587918648	-11679.43702054049	-102.19456737815688	-11679.43702054049	43.79343376404754	247.31864382177932	0.27754322184336866	0.24471135479974543	0.2444371010885484	0.23330832226833753	0.9523272617760578	1.582505594712553	0.5947907823655098	0.9523272617760578	1.3232583170043117	0.5947907823655098	31.681165137057764	-86.18103702371803	3.036919771024346E-4
