Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	clockRate	TIM3uffreqParameter.1	TIM3uffreqParameter.2	TIM3uffreqParameter.3	TIM3uffreqParameter.4	RateAC-Standard_TIM3uf	RateAG-Standard_TIM3uf	RateAT-Standard_TIM3uf	RateCG-Standard_TIM3uf	RateCT-Standard_TIM3uf	RateGT-Standard_TIM3uf	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5	proportionInvariant	
0	-11613.114485674894	-11496.993110840704	-116.12137483418974	-11496.993110840704	97.28419468409065	639.3586552661244	1.113411348073784E-4	0.2917426723851429	0.19956440496592728	0.24784814162232588	0.26084478102660413	0.1417738986163838	2.4372261179050785	0.3550982056807588	0.1417738986163838	2.5690296735006393	0.3550982056807588	-91.76024552421765	16.55304848466713	51.043156028900256	161.61358307159193	26.676533976409353	0.8386015237064881	4.0	4.0	7.0	2.0	2.0	0.7717467572178098	
1	-11634.13291799582	-11496.337158058803	-137.79575993701673	-11496.337158058803	134.9614376815088	863.233088987372	9.384532764094052E-5	0.31022562936782627	0.20138820727342568	0.24669215795274937	0.24169400540599884	0.20988625248910592	2.2249670703294693	0.3172643165467039	0.20988625248910592	2.720731791598914	0.3172643165467039	-105.56035929523395	749.0634056859471	73.38524964881597	241.24813695151494	164.0506690791929	8.30616430159255	1.0	7.0	4.0	4.0	3.0	0.7717467572178098	
2	-11623.745893732375	-11491.384171266329	-132.3617224660466	-11491.384171266329	115.07259088073808	743.2677697695638	8.497521556158409E-5	0.2959820524836374	0.19840218184325709	0.2439977100392454	0.26161805563386015	0.1115325959108524	2.761635872155685	0.3045026472017719	0.1115325959108524	2.406293641619069	0.3045026472017719	-103.40409749861958	37.861154924980575	57.05819214987887	135.47189530895952	360.81217024981635	109.64851523735216	3.0	2.0	7.0	4.0	3.0	0.7717467572178098	
3	-11624.96890916497	-11490.40809006134	-134.56081910363008	-11490.40809006134	138.5777395311692	880.2950457402219	9.461623792731816E-5	0.30195114597606265	0.20001297778048033	0.2481576127176688	0.2498782635257883	0.09539164497583963	2.761635872155685	0.2616937881161921	0.09539164497583963	2.524193261660254	0.2616937881161921	-104.48814352760364	84.05195593870994	101.95464524094584	111.40845981592015	396.14845182508077	11.386721437423859	1.0	1.0	11.0	2.0	4.0	0.7717467572178098	
4	-11626.928854215668	-11489.99111559819	-136.93773861747832	-11489.99111559819	133.3711255488766	853.751477488323	7.080787326917152E-5	0.3057556118569992	0.2025176826194842	0.2354443773393188	0.25628232818419805	0.07716091228452891	2.6414131248148385	0.2891436947157913	0.07716091228452891	2.6259776611845242	0.2891436947157913	-99.85261064154773	9.102883585559958	47.516867654784896	202.977660947002	1370.5072271838103	37.19797326349253	4.0	1.0	9.0	1.0	4.0	0.7717467572178098	
5	-11614.123432863922	-11489.706656021212	-124.41677684271052	-11489.706656021212	128.4486170368205	840.6842702875733	8.997116327137463E-5	0.30145853706680814	0.20348783350092195	0.23877130124807205	0.25628232818419805	0.08587724922527395	2.712915752355141	0.293782036105168	0.08587724922527395	2.5277656769839782	0.293782036105168	-100.3773958998382	66.45128742410603	69.39831511786066	156.69963065795693	15.99325449579384	2.809947865591445	6.0	2.0	7.0	3.0	1.0	0.7717467572178098	
6	-11622.778310560121	-11489.228801259072	-133.54950930104872	-11489.228801259072	123.66104879733683	749.8192913708547	8.300217641573832E-5	0.3045467470044779	0.2029902726389941	0.23895389840683698	0.25350908194969124	0.08587724922527395	2.486581058613221	0.32516043696503094	0.08587724922527395	2.6913435690061727	0.32516043696503094	-104.80301852961223	80.97594089334073	143.4713036783288	268.7752100636788	101.24862061331844	76.82176820175802	3.0	7.0	5.0	1.0	3.0	0.7717467572178098	
7	-11609.232333302398	-11487.4389755306	-121.79335777179847	-11487.4389755306	123.72393943854097	776.2826201608603	9.461623792731816E-5	0.28851409471386963	0.1996179389467771	0.26122420046313877	0.2506437658762146	0.09539164497583963	2.761635872155685	0.2616937881161921	0.09539164497583963	2.524193261660254	0.2616937881161921	-96.23831936064434	39.905051193930746	123.78095168843143	225.83708345674756	13.887384093897277	4.511384660763218	5.0	7.0	3.0	1.0	3.0	0.7717467572178098	
8	-11604.854421351829	-11487.146443003488	-117.70797834834005	-11487.146443003488	75.86358508774086	489.57958010451193	1.403789878146084E-4	0.30207191008539824	0.19095342517155686	0.25437251884280987	0.2526021459002351	0.1393478342843777	2.7303865313080746	0.33941352101984806	0.1393478342843777	2.3120907580834764	0.33941352101984806	-92.13083972342369	19.790920653954437	34.270226355214874	86.65059652278921	174.83451424754165	29.53498446890774	4.0	2.0	4.0	5.0	4.0	0.7717467572178098	
9	-11604.854421351829	-11487.146443003488	-117.70797834834005	-11487.146443003488	75.86358508774086	489.57958010451193	1.403789878146084E-4	0.30207191008539824	0.19095342517155686	0.25437251884280987	0.2526021459002351	0.1393478342843777	2.7303865313080746	0.33941352101984806	0.1393478342843777	2.3120907580834764	0.33941352101984806	-92.13083972342369	19.790920653954437	34.270226355214874	86.65059652278921	174.83451424754165	29.53498446890774	4.0	2.0	4.0	5.0	4.0	0.7717467572178098	
