#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:HRTV_S_BEAST" lower="0.0" name="popSize" spec="beast.base.inference.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.TreeIntervals">
#                <tree id="Tree.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.Tree">
#                    <trait id="dateTrait.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.TraitSet" traitname="date" value="HRTV-23_T_S_2019=2019,HRTV-26_T_S_2019=2019,HRTV-404_T_S_2021=2021,HRTV-100_T_S_2022=2022,HRTV-187_T_S_2022=2022,HRTV-056F_T_S_2023=2023,HRTV-504_T_S_2019=2019,HRTV-432R_T_S_2023=2023,HRTV-642T_T_S_2023=2023,JX005843_H_S_MO_2009=2009,OQ688983.1_T_S_MO_2012=2012,OQ688989.1_T_S_MO_2012=2012,OQ688986.1_T_S_KS_2015=2015,OQ688993.1_H_S_OK_2017=2017,MZ440341_T_S_NY_2018=2018,MZ440344_T_S_NY_2018=2018,NC_024496_H_S_MO_2009=2009,KJ740146_H_S_TN_2013=2013,OQ688998.1_H_S_KY_2017=2017,OQ689001.1_H_S_MO_2017=2017">
#                        <taxa id="TaxonSet.HRTV_S_BEAST" spec="beast.base.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.HRTV_S_BEAST"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="ClockPrior.c:HRTV_S_BEAST" name="distribution">
#            <parameter id="clockRate.c:HRTV_S_BEAST" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="10.0">0.0016226</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="PopSizePrior.t:HRTV_S_BEAST" name="distribution" x="@popSize.t:HRTV_S_BEAST">
#            <OneOnX id="OneOnX.1" name="distr"/>
#        </prior>
#        <prior id="PropInvariantPrior.s:HRTV_S_BEAST" name="distribution">
#            <parameter id="proportionInvariant.s:HRTV_S_BEAST" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.769</parameter>
#            <Uniform id="Uniform.2" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@HRTV_S_BEAST" id="treeLikelihood.HRTV_S_BEAST" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:HRTV_S_BEAST">
#            <siteModel id="SiteModel.s:HRTV_S_BEAST" proportionInvariant="@proportionInvariant.s:HRTV_S_BEAST" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:HRTV_S_BEAST" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:HRTV_S_BEAST" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <substModel id="Standard_TPM3.s:HRTV_S_BEAST" spec="substmodels.nucleotide.TPM3">
#                    <parameter dimension="3" id="TPM3rates.s:HRTV_S_BEAST" lower="0.0" name="rates" spec="beast.base.inference.parameter.RealParameter">1.0 1.0 1.0</parameter>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:HRTV_S_BEAST" id="StrictClock.c:HRTV_S_BEAST" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	clockRate	RateAC-Standard_TPM3	RateAG-Standard_TPM3	RateAT-Standard_TPM3	RateCG-Standard_TPM3	RateCT-Standard_TPM3	RateGT-Standard_TPM3	proportionInvariant	popSize	CoalescentConstant	mutationRate
0	-8196.421594824644	-8225.907038365001	-8196.421594824644	-29.485443540358343	-8196.421594824644	18.150617264505712	40.03970140851097	9.167410054137147	0.619356159295186	1.108912283374334	1.2717315573304802	0.619356159295186	1.108912283374334	1.2717315573304802	0.23954976689739393	1.851119906832923	-28.86965272937674	1.0
1	-8131.102867039757	-8144.702701120983	-8131.102867039758	-13.599834081224472	-8131.102867039758	14.996400642019392	25.310084403363994	5.7768039660190755	0.716999256274846	1.2255245410460902	1.0574762026790638	0.716999256274846	1.2255245410460902	1.0574762026790638	0.24117615454873034	0.6152613845395289	-14.08554216718217	1.0
2	-8004.028965722271	-8011.983573803643	-8004.028965722271	-7.954608081371351	-8004.028965722271	14.248406585717643	22.710271060465715	3.3379462313900405	0.716999256274846	1.2255245410460902	1.0574762026790638	0.716999256274846	1.2255245410460902	1.0574762026790638	0.24117615454873034	0.5473098241135796	-8.55734831222114	1.0
3	-7705.189427477761	-7719.7492625536215	-7705.189427477762	-14.559835075859603	-7705.189427477762	14.834323761470927	26.807107229341725	0.6970189595973436	0.6659868820892085	1.52925532347368	0.8047577944371114	0.6659868820892085	1.52925532347368	0.8047577944371114	0.1615343343330176	0.7293988752211084	-14.875369618528799	1.0
4	-7698.281274912821	-7716.957606789971	-7698.281274912821	-18.676331877149682	-7698.281274912821	15.000481331147103	28.174993909012997	3.8684180090322604	0.9330377744814917	0.924336475088444	1.1426257504300643	0.9330377744814917	0.924336475088444	1.1426257504300643	0.28608453520071364	1.1552260940316235	-18.532035799924596	1.0
5	-7678.0776169138835	-7701.704292652553	-7678.0776169138835	-23.62667573866888	-7678.0776169138835	16.48499521181395	35.24062232631079	9.20138782157588	0.7010362558528833	1.2460657380368916	1.052898006110225	0.7010362558528833	1.2460657380368916	1.052898006110225	0.33642407556943277	1.304980064172614	-23.36048797450699	1.0
6	-7585.802598643606	-7589.197358645369	-7585.802598643606	-3.3947600017626263	-7585.802598643606	14.367893472907955	21.237299084221156	4.788063440325234	0.6034558861341468	1.2441616813974556	1.1523824324683976	0.6034558861341468	1.2441616813974556	1.1523824324683976	0.33642407556943277	0.48866020273445615	-4.110847914745872	1.0
7	-7570.373629961251	-7583.336394933742	-7570.373629961251	-12.962764972490882	-7570.373629961251	14.098525588652404	24.493670062236113	4.918407825741114	0.7775025341491165	1.265790296709344	0.9567071691415396	0.7775025341491165	1.265790296709344	0.9567071691415396	0.33642407556943277	0.7652480766684456	-13.230320186988198	1.0
8	-7561.252924517413	-7558.30582379086	-7561.252924517413	2.9471007265525477	-7561.252924517413	14.278681386551618	19.51991841329439	4.198084585084489	0.7629701650963943	1.1421789166790397	1.094850918224566	0.7629701650963943	1.1421789166790397	1.094850918224566	0.28608453520071364	0.398285313523966	2.0265140641782775	1.0
9	-7556.967031438488	-7572.597235363788	-7556.967031438489	-15.630203925299027	-7556.967031438489	16.728137714770572	29.19241464528531	2.130711031684775	0.7488773705754244	1.1084968789945113	1.1426257504300643	0.7488773705754244	1.1084968789945113	1.1426257504300643	0.28608453520071364	1.0187521669545283	-15.611625412656423	1.0
10	-7533.089479653645	-7550.678756729532	-7533.089479653645	-17.589277075887157	-7533.089479653645	15.333639664546947	28.578372873328515	4.841480915780119	0.7029403124923193	1.2441616813974556	1.052898006110225	0.7029403124923193	1.2441616813974556	1.052898006110225	0.33642407556943277	1.0456065466677669	-17.544679931419964	1.0
11	-7517.5333945336915	-7525.81338061593	-7517.5333945336915	-8.279986082239041	-7517.5333945336915	14.436306571597909	23.213662679184417	2.7695145315288325	0.6034558861341468	1.2441616813974556	1.1523824324683976	0.6034558861341468	1.2441616813974556	1.1523824324683976	0.33642407556943277	0.5391183620802349	-8.897806218723618	1.0
12	-7488.542833143434	-7498.166324994694	-7488.542833143434	-9.623491851259969	-7488.542833143434	14.488927208412788	23.53203667197696	9.228789792648794	0.6034558861341468	1.2441616813974556	1.1523824324683976	0.6034558861341468	1.2441616813974556	1.1523824324683976	0.33642407556943277	0.6353232236317061	-10.077113247259652	1.0
