Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	clockRate	RateAC-Standard_TPM3	RateAG-Standard_TPM3	RateAT-Standard_TPM3	RateCG-Standard_TPM3	RateCT-Standard_TPM3	RateGT-Standard_TPM3	proportionInvariant	popSize	CoalescentConstant	mutationRate	
11	-3536.2191007877805	-3438.8173795477505	-97.4017212400299	-3438.8173795477505	92.79443913418852	415.78914299984353	2.4685557771106874E-4	0.18848742779723138	2.2680652753271886	0.5434472968755798	0.18848742779723138	2.2680652753271886	0.5434472968755798	0.6448290588346599	38.26909939313601	-93.75707847384186	1.0	
12	-3536.745390482268	-3438.7874733704994	-97.95791711176842	-3438.7874733704994	76.31741451672542	359.08394089092013	2.8428829705568176E-4	0.12688725034612783	2.400119033496176	0.47299371615769653	0.12688725034612783	2.400119033496176	0.47299371615769653	0.6448290588346599	29.483168373515777	-94.57409757486565	1.0	
13	-3539.6885064277085	-3438.780480225989	-100.90802620171971	-3438.780480225989	115.22009437123621	484.9879962272527	1.7561258303774066E-4	0.0609481060441529	2.2984463019997015	0.6406055919561462	0.0609481060441529	2.2984463019997015	0.6406055919561462	0.8480267032096531	56.17456279583081	-96.87956216657436	1.0	
14	-3533.9830749626126	-3438.6988076379744	-95.284267324638	-3438.6988076379744	82.83102588940397	371.28958770888096	3.108704374246035E-4	0.14662810426324985	2.2198995085235453	0.6334723872132045	0.14662810426324985	2.2198995085235453	0.6334723872132045	0.6448290588346599	32.728019722423355	-91.79603574139487	1.0	
15	-3538.342455644037	-3437.818010533448	-100.52444511058857	-3437.818010533448	66.42729090218012	394.9629048291316	2.552239327202802E-4	0.19876081925868647	2.188366544242396	0.6128726364989178	0.19876081925868647	2.188366544242396	0.6128726364989178	0.6448290588346599	59.76084673538049	-96.43409440093232	1.0	
16	-3541.5713099629443	-3437.715395681475	-103.85591428146935	-3437.715395681475	137.72731683754483	539.6285104686893	1.8397773658648282E-4	0.08847515085436047	2.2526478864533863	0.6588769626922533	0.08847515085436047	2.2526478864533863	0.6588769626922533	0.6448290588346599	89.7985622626762	-99.35834531672727	1.0	
17	-3533.9829914697584	-3437.494838215603	-96.48815325415553	-3437.494838215603	70.62975282835683	367.08766547417713	2.610002394355429E-4	0.15275649306535094	2.171219100886951	0.676024406047698	0.15275649306535094	2.171219100886951	0.676024406047698	0.6448290588346599	47.69357010866498	-92.62335666390787	1.0	
18	-3541.837878317861	-3437.0582015384634	-104.7796767793973	-3437.0582015384634	122.20866560972043	568.2795168081299	1.8712559162532169E-4	0.15275649306535094	2.171219100886951	0.676024406047698	0.15275649306535094	2.171219100886951	0.676024406047698	0.6448290588346599	72.21391445188522	-100.50004403112658	1.0	
19	-3541.837878317861	-3437.0582015384634	-104.7796767793973	-3437.0582015384634	122.20866560972043	568.2795168081299	1.8712559162532169E-4	0.15275649306535094	2.171219100886951	0.676024406047698	0.15275649306535094	2.171219100886951	0.676024406047698	0.6448290588346599	72.21391445188522	-100.50004403112658	1.0	
20	-3545.5102615652577	-3437.040103063594	-108.47015850166368	-3437.040103063594	114.36787744778037	562.8682781268269	2.0085753871849167E-4	0.09283732170147382	2.1535057304858514	0.7536569478126744	0.09283732170147382	2.1535057304858514	0.7536569478126744	0.6448290588346599	57.46913377999423	-104.41891050181731	1.0	
