Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	gammaShape	TPM2uffreqParameter.1	TPM2uffreqParameter.2	TPM2uffreqParameter.3	TPM2uffreqParameter.4	RateAC-Standard_TPM2uf	RateAG-Standard_TPM2uf	RateAT-Standard_TPM2uf	RateCG-Standard_TPM2uf	RateCT-Standard_TPM2uf	RateGT-Standard_TPM2uf	proportionInvariant	clockRate	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5	
10	-6467.646286915529	-6344.537174566805	-123.10911234872391	-6344.537174566805	93.08696439256599	341.5546500832383	0.3062861457111235	0.27379664203217086	0.20346464766801062	0.2735374460770733	0.24920126422274477	0.4031956085364186	2.3954541350954055	0.4031956085364186	0.20135025636817633	2.3954541350954055	0.20135025636817633	0.0	3.3925404918925574E-4	-81.78077856096465	11.591109407513448	22.51114177960413	44.10974475283738	69.07488699701936	35.19484751291707	6.0	1.0	10.0	1.0	1.0	
11	-6452.519376087791	-6344.525517769846	-107.99385831794461	-6344.525517769846	69.2342733252229	261.1438668631868	0.26226608268280965	0.28687813690780006	0.1884536366586492	0.2822156328936648	0.24245259353988552	0.35917112364411924	2.56980583930456	0.35917112364411924	0.07102303705132165	2.56980583930456	0.07102303705132165	0.0	4.201285202527934E-4	-71.00834511417052	2.7021073992544875	4.364602074747343	19.398173256946144	20.86430247931924	44.15129060460235	4.0	3.0	1.0	1.0	10.0	
12	-6465.425912714532	-6344.451993621363	-120.97391909316927	-6344.451993621363	80.27344241424134	323.88496723507564	0.3214818819894661	0.27959106599075056	0.19525715551497302	0.27859498970890856	0.2465567887853674	0.4347830254017236	2.3659026596359953	0.4347830254017236	0.1993143149622818	2.3659026596359953	0.1993143149622818	0.0	3.3925404918925574E-4	-78.17681708508418	3.1317928732573272	15.275842983115206	27.209165993307433	99.37722863262853	24.23142875455721	3.0	2.0	6.0	5.0	3.0	
13	-6457.758519135259	-6344.399410395152	-113.35910874010749	-6344.399410395152	83.42300703715054	307.4575016692812	0.17433489597130583	0.2792159233105237	0.20806213716787633	0.2766560235388963	0.23606591598270327	0.4131673807216868	2.431859075703316	0.4131673807216868	0.1549735435749977	2.431859075703316	0.1549735435749977	0.0	3.3925404918925574E-4	-74.6808024711171	2.6830064767596973	8.561342889312295	24.781427228812674	33.42024330949927	40.80048705939628	6.0	1.0	2.0	1.0	9.0	
14	-6462.116356159025	-6344.159207047787	-117.9571491112377	-6344.159207047787	80.60171573814368	304.3212326154562	0.17433489597130583	0.2763351494882168	0.20806213716787633	0.2766560235388963	0.23894668980501016	0.4492178378437802	2.471107051454951	0.4492178378437802	0.07967511070126916	2.471107051454951	0.07967511070126916	0.0	3.3925404918925574E-4	-75.55541412850415	4.388818379067355	24.429353530828706	22.453400058757655	66.93817927317984	18.9478703084153	7.0	6.0	1.0	2.0	3.0	
15	-6456.160536355655	-6344.140414272019	-112.0201220836355	-6344.140414272019	71.77174806402367	265.19467772731787	0.17341110238093976	0.27518633444752527	0.19249385754070047	0.2813582876831811	0.2509615203285927	0.40658569841373765	2.3940999866239814	0.40658569841373765	0.1993143149622818	2.3940999866239814	0.1993143149622818	0.0	3.3925404918925574E-4	-68.9785123472959	6.237546910687941	29.63225033576044	31.773742491766978	85.90068273181073	31.89463867736818	8.0	1.0	2.0	4.0	4.0	
16	-6461.986157986363	-6344.081518481446	-117.90463950491637	-6344.081518481446	88.89065699676792	314.60544906016486	0.3062861457111235	0.27379664203217086	0.20346464766801062	0.2735374460770733	0.24920126422274477	0.4031956085364186	2.3954541350954055	0.4031956085364186	0.20135025636817633	2.3954541350954055	0.20135025636817633	0.0	3.3925404918925574E-4	-75.86220121423108	9.060846701633167	11.117570721035488	40.20583591581076	97.62058771005441	35.586593503222566	4.0	3.0	6.0	4.0	2.0	
17	-6453.468524278001	-6344.038391886863	-109.43013239113739	-6344.038391886863	63.229064810201685	244.7991495830532	0.15140693049365755	0.2692942997298447	0.1884536366586492	0.2852180857668825	0.2570339778446232	0.33227527260080303	2.5145861199231483	0.33227527260080303	0.15313860747604977	2.5145861199231483	0.15313860747604977	0.0	4.201285202527934E-4	-71.3888335935035	14.92680085139437	2.3511011073025907	5.960885536238814	24.25149907130923	45.75376160407098	1.0	2.0	4.0	4.0	8.0	
18	-6475.753530222443	-6343.8458677728395	-131.90766244960395	-6343.8458677728395	111.57135200164441	402.000781330192	0.18374794060540323	0.2710630443620691	0.21691390008422415	0.25926358126237664	0.25275947429132967	0.31035809455358104	2.4884134722325006	0.31035809455358104	0.20122843321391876	2.4884134722325006	0.20122843321391876	0.0	2.4836118311667113E-4	-89.08673903513946	25.670281604353384	52.35893559281505	35.22388168230233	34.011196547433066	30.610221127736782	12.0	2.0	2.0	2.0	1.0	
19	-6461.408132803791	-6343.554501013948	-117.8536317898433	-6343.554501013948	77.75746192880658	283.4980202860381	0.3062861457111235	0.27379664203217086	0.20346464766801062	0.2735374460770733	0.24920126422274477	0.4031956085364186	2.3954541350954055	0.4031956085364186	0.20135025636817633	2.3954541350954055	0.20135025636817633	0.0	3.3925404918925574E-4	-77.04211855554804	9.154046691099698	8.938495000517682	48.59014962655491	31.527383617992808	15.20292004720015	5.0	1.0	9.0	1.0	3.0	
