Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	RateAC-Standard_TPM3	RateAG-Standard_TPM3	RateAT-Standard_TPM3	RateCG-Standard_TPM3	RateCT-Standard_TPM3	RateGT-Standard_TPM3	fastUcldStdev	fastRatesStat.mean	fastRatesStat.variance	fastRatesStat.coefficientOfVariation	fastUcldMean	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5	
26	-3261.5331026044832	-3429.84783208054	168.3147294760567	-3429.84783208054	61.935683939825815	282.0420825126405	0.27296490201186163	2.2542953359521105	0.4727397620360281	0.27296490201186163	2.2542953359521105	0.4727397620360281	2.93510911462676E-4	2.983028469696261E-4	5.827323665564389E-15	2.5589383547082673E-4	2.9830506643972943E-4	-78.25146657398228	4.00878863278596	6.8430838842056	20.559359184251864	68.60581565474797	113.22122884315003	4.0	2.0	1.0	5.0	7.0	
27	-3271.5616254256147	-3429.775942140068	158.21431671445308	-3429.775942140068	52.33495017539484	250.69417002013472	0.24857855901948217	2.334394756500908	0.4170266844796099	0.24857855901948217	2.334394756500908	0.4170266844796099	3.956547789078977E-4	4.1020347390939186E-4	1.8252967276374717E-14	3.293489116605035E-4	4.10224573011943E-4	-75.25482116571916	6.247698341931346	33.24117240647786	90.23927194969988	24.52772035118888	29.344738953946937	8.0	2.0	6.0	2.0	1.0	
28	-3518.289408448904	-3429.70280673956	-88.58660170934397	-3429.70280673956	55.09885692445424	242.0767372253633	0.10200806743855645	2.2711316158905452	0.6268603166708986	0.10200806743855645	2.2711316158905452	0.6268603166708986	0.21398766890074497	4.039083481827084E-4	7.3960488553300445E-9	0.21819961316549363	4.0738842329216766E-4	-72.65166709746994	3.4339493143747104	19.07607441857473	50.765169099088695	125.702674946574	51.56171122522535	6.0	2.0	5.0	1.0	5.0	
29	-3514.9416644886373	-3429.593173674103	-85.34849081453402	-3429.593173674103	105.85751656592831	493.94038556676486	0.1704108398312251	2.1069613289047044	0.7226278312640706	0.1704108398312251	2.1069613289047044	0.7226278312640706	0.1534374793614849	1.783208526748878E-4	7.322651751559063E-10	0.15200261530540304	1.754915787753148E-4	-85.72287711254188	6.060527307787999	17.555206096716805	65.42175409320119	113.85946103134089	19.332698665712076	7.0	1.0	3.0	4.0	4.0	
30	-3437.11719379907	-3429.4043949198904	-7.712798879179388	-3429.4043949198904	58.75993416287864	306.3886813538271	0.27296490201186163	2.2542953359521105	0.4727397620360281	0.27296490201186163	2.2542953359521105	0.4727397620360281	0.020980539626834178	3.346094876884435E-4	4.854061766733435E-11	0.020846288158166398	3.3442994942421266E-4	-83.6873426392017	9.790860538197212	26.297244275691515	65.05742268152225	107.83234072443658	42.208832094449335	4.0	3.0	7.0	3.0	2.0	
31	-3513.028823482635	-3429.2721327133145	-83.75669076932041	-3429.2721327133145	54.15639559095408	249.5821878202952	0.09838875526296811	2.182541286035433	0.7190699587015991	0.09838875526296811	2.182541286035433	0.7190699587015991	0.1970429456783033	4.6918606587008913E-4	6.429533939591823E-9	0.169874709934151	4.700759808059002E-4	-77.11103563675604	15.298770368758435	30.555201868795535	41.03182547805477	130.50743513610283	41.521559686105455	8.0	2.0	2.0	3.0	4.0	
32	-3410.7510135599478	-3429.149840970722	18.398827410774363	-3429.149840970722	60.12463696947696	271.51062635714004	0.09838875526296811	2.182541286035433	0.7190699587015991	0.09838875526296811	2.182541286035433	0.7190699587015991	0.01570609079479158	4.286599492038977E-4	3.767603165213859E-11	0.014305787559997915	4.300733793724031E-4	-73.10060537991434	6.935988894676135	10.7566996477998	39.1531590915026	81.56114076068235	21.234302999998274	6.0	2.0	6.0	1.0	4.0	
33	-3410.7510135599478	-3429.149840970722	18.398827410774363	-3429.149840970722	60.12463696947696	271.51062635714004	0.09838875526296811	2.182541286035433	0.7190699587015991	0.09838875526296811	2.182541286035433	0.7190699587015991	0.01570609079479158	4.286599492038977E-4	3.767603165213859E-11	0.014305787559997915	4.300733793724031E-4	-73.10060537991434	6.935988894676135	10.7566996477998	39.1531590915026	81.56114076068235	21.234302999998274	6.0	2.0	6.0	1.0	4.0	
34	-3454.5333973035627	-3429.122938235913	-25.41045906764992	-3429.122938235913	95.4893677260659	461.7187149888246	0.20288507781421525	2.1914852772052313	0.6056296449805536	0.20288507781421525	2.1914852772052313	0.6056296449805536	0.03378832508825083	2.3458972862401277E-4	5.233190120548831E-11	0.0305843970718643	2.3628521077443667E-4	-85.90424928860446	9.266755932981718	33.07566713044749	58.5534268156	113.43640998550227	32.95697296715077	6.0	1.0	5.0	4.0	3.0	
35	-3381.449123985262	-3429.0416040355235	47.59248005026181	-3429.0416040355235	47.85026220463828	217.62487003516742	0.27296490201186163	2.348718677174367	0.37831642081377154	0.27296490201186163	2.348718677174367	0.37831642081377154	0.007830270465777748	4.6760521574537996E-4	1.4166532747571616E-11	0.008065896028800338	4.6737338690954687E-4	-69.10748219317057	7.258996527628497	4.176009797991392	2.2087769154038073	11.699016260773753	43.39692561441785	2.0	4.0	1.0	2.0	10.0	
36	-3396.384742389277	-3428.9740270307975	32.58928464152028	-3428.9740270307975	87.47223228685938	379.2766892663797	0.27296490201186163	2.2542953359521105	0.4727397620360281	0.27296490201186163	2.2542953359521105	0.4727397620360281	0.007989133854681564	2.6683140818401993E-4	3.9057099396986645E-12	0.007408521829942187	2.663585528468862E-4	-80.42633893912435	4.552093841222857	27.711699715503013	71.06653461988037	115.13378935054106	21.41751429031329	4.0	4.0	6.0	2.0	3.0	
37	-3100.05593004063	-3428.967339568361	328.91140952773105	-3428.967339568361	58.77187997582472	281.5840877174187	0.0933605926871303	2.192340272752882	0.7142991345599884	0.0933605926871303	2.192340272752882	0.7142991345599884	3.957439912301007E-6	3.9493114615377913E-4	2.361178459873032E-18	3.8908410443137295E-6	3.949302384151165E-4	-77.51344603293593	10.881512802595141	9.26020678119468	33.74610964600278	68.25014029445103	34.751113320884286	4.0	5.0	1.0	6.0	3.0	
38	-3407.7107878453767	-3428.891031113633	21.18024326825636	-3428.891031113633	81.88379288535194	368.8125218300278	0.2588626028243335	2.2612411631970795	0.4798962339785875	0.2588626028243335	2.2612411631970795	0.4798962339785875	0.01023930327096955	2.891928900113431E-4	9.028192599759239E-12	0.010417831310328115	2.8879591825177947E-4	-80.89481475126553	7.730142936036058	22.50413988820654	15.015540360838322	89.57663589827884	44.61804323944936	3.0	4.0	1.0	8.0	3.0	
39	-3412.175351160934	-3428.870220999918	16.694869838983987	-3428.870220999918	67.2302689683027	307.6741682437849	0.26995472384776725	2.1709309274308524	0.5591143487213809	0.26995472384776725	2.1709309274308524	0.5591143487213809	0.01217077958374972	3.205218726809418E-4	1.965540744409096E-11	0.013966939630661597	3.1798999163607693E-4	-74.41014157470686	4.964438565914528	6.995614516036746	34.949560353560976	119.90708878021151	15.727438046892246	7.0	1.0	3.0	5.0	3.0	
