Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	clockRate	TPM2uffreqParameter.1	TPM2uffreqParameter.2	TPM2uffreqParameter.3	TPM2uffreqParameter.4	RateAC-Standard_TPM2uf	RateAG-Standard_TPM2uf	RateAT-Standard_TPM2uf	RateCG-Standard_TPM2uf	RateCT-Standard_TPM2uf	RateGT-Standard_TPM2uf	proportionInvariant	mutationRate	popSize	CoalescentConstant	gammaShape	
0	-6454.189652232129	-6340.7295305188045	-113.46012171332536	-6340.7295305188045	216.37469441448374	850.6215588182879	1.0814508067591491E-4	0.25546035895071784	0.20031659720852943	0.28200220217681227	0.26222084166394066	0.2086897559532371	2.6700789430979954	0.2086897559532371	0.12123130094876622	2.6700789430979954	0.12123130094876622	0.0	1.0614622025246585	110.38305779808127	-108.36096106681553	0.3952039864172304	
1	-6442.4676836397275	-6339.442515025051	-103.02516861467639	-6339.442515025051	144.0450326007105	564.0465841300639	1.9701799626576418E-4	0.26237702924710893	0.21678235334155782	0.2589263100503783	0.2619143073609551	0.4825339478134809	2.4188378383774634	0.4825339478134809	0.09862821380905476	2.4188378383774634	0.09862821380905476	0.0	0.8173412849605229	82.56350621517717	-98.46232400259241	0.14927684256090293	
2	-6454.1782587152875	-6339.31979792019	-114.85846079509825	-6339.31979792019	230.98699608062003	927.6211387184339	1.302164619320188E-4	0.2655772436925235	0.1930777722749146	0.2601020202356052	0.28124296379695685	0.3301418223359766	2.408236791804434	0.3301418223359766	0.26162138585958905	2.408236791804434	0.26162138585958905	0.0	0.8173412849605229	103.44450205827462	-109.99495482677072	0.2244707114325191	
3	-6453.425518862418	-6338.721093118566	-114.70442574385234	-6338.721093118566	221.75443562183125	880.3179293766032	1.3101977149169284E-4	0.2511189971453391	0.20088615100929016	0.27337562372350127	0.2746192281218696	0.34009572523767534	2.436298298191015	0.34009572523767534	0.22360597657130954	2.436298298191015	0.22360597657130954	0.0	0.8173412849605229	139.60250876738291	-109.38482793045031	0.38079865212217495	
4	-6444.180876767781	-6338.320917586389	-105.8599591813914	-6338.320917586389	176.96072973050218	633.0518616321463	2.0003888371306422E-4	0.26313151538984225	0.21678235334155782	0.2680726090013029	0.2520135222672972	0.4310019200504233	2.4837752169060994	0.4310019200504233	0.0852228630434763	2.4837752169060994	0.0852228630434763	0.0	0.8173412849605229	51.20606102371492	-101.66884339456332	0.2552578824194727	
5	-6447.120590671946	-6337.837246155405	-109.28334451654086	-6337.837246155405	166.9777393296464	672.5548018239524	1.7192074460036937E-4	0.2669765692804709	0.19898327857733916	0.2636828705621472	0.2703572815800429	0.3690775605640099	2.5342825235398765	0.3690775605640099	0.09663991589611237	2.5342825235398765	0.09663991589611237	0.0	0.8173412849605229	116.80041129558474	-103.83918624818412	0.6836916766025006	
6	-6457.398477782393	-6337.611422929972	-119.78705485242023	-6337.611422929972	337.7836106147422	1290.6046441351764	9.633576171531488E-5	0.2554426333914608	0.19634868822890936	0.28677084324748253	0.26143783513214763	0.4523900231765641	2.436851412340399	0.4523900231765641	0.11075856448303553	2.436851412340399	0.11075856448303553	0.0	0.8173412849605229	123.46539219420686	-114.76220037857173	0.2088935821989784	
7	-6451.989002130382	-6337.191155601469	-114.79784652891253	-6337.191155601469	245.96375881563387	926.2040637932234	1.3101977149169284E-4	0.2511189971453391	0.20088615100929016	0.27337562372350127	0.2746192281218696	0.27965935454533775	2.5837768054043297	0.27965935454533775	0.13656384005033229	2.5837768054043297	0.13656384005033229	0.0	0.8173412849605229	76.48471107939247	-110.0799570111029	0.38079865212217495	
8	-6451.989002130382	-6337.191155601469	-114.79784652891253	-6337.191155601469	245.96375881563387	926.2040637932234	1.3101977149169284E-4	0.2511189971453391	0.20088615100929016	0.27337562372350127	0.2746192281218696	0.27965935454533775	2.5837768054043297	0.27965935454533775	0.13656384005033229	2.5837768054043297	0.13656384005033229	0.0	0.8173412849605229	76.48471107939247	-110.0799570111029	0.38079865212217495	
9	-6441.828393079976	-6336.947165103508	-104.88122797646751	-6336.947165103508	160.89895324724878	613.3628383436559	2.0003888371306422E-4	0.26313151538984225	0.2153353409330658	0.27350170748913316	0.24803143618795898	0.48345224440812756	2.454105431081653	0.48345224440812756	0.06244232451021847	2.454105431081653	0.06244232451021847	0.0	0.8173412849605229	67.09546623643102	-100.47400821362439	0.20110328841456193	
10	-6452.929210862374	-6336.5711054977755	-116.3581053645986	-6336.5711054977755	252.36583294618546	997.5242606623995	1.1942230563602866E-4	0.2632819852410934	0.2067258619095977	0.2741044553306771	0.25588769751863194	0.2811635127922275	2.4524011081493082	0.2811635127922275	0.26643537905846293	2.4524011081493082	0.26643537905846293	0.0	0.8173412849605229	102.88930065473235	-111.44647655105638	0.2779751541964416	
11	-6452.929210862374	-6336.5711054977755	-116.3581053645986	-6336.5711054977755	252.36583294618546	997.5242606623995	1.1942230563602866E-4	0.2632819852410934	0.2067258619095977	0.2741044553306771	0.25588769751863194	0.2811635127922275	2.4524011081493082	0.2811635127922275	0.26643537905846293	2.4524011081493082	0.26643537905846293	0.0	0.8173412849605229	102.88930065473235	-111.44647655105638	0.2779751541964416	
12	-6449.634454274532	-6336.4670929378535	-113.167361336678	-6336.4670929378535	226.09772787606073	860.5897863793839	1.3101977149169284E-4	0.2511189971453391	0.20088615100929016	0.27337562372350127	0.2746192281218696	0.27965935454533775	2.5837768054043297	0.27965935454533775	0.13656384005033229	2.5837768054043297	0.13656384005033229	0.0	0.8173412849605229	95.99326686483498	-108.22228463237232	0.38079865212217495	
13	-6447.154166161595	-6336.192056124386	-110.96211003720917	-6336.192056124386	191.50467641160074	725.9976006105114	1.5842143199319594E-4	0.2733325967013493	0.20476027266678706	0.2553348728076393	0.2665722578242245	0.41013555159449394	2.4391515556451386	0.41013555159449394	0.15071289276036645	2.4391515556451386	0.15071289276036645	0.0	0.8173412849605229	51.74821726917603	-106.70713734174772	0.3085827128141595	
14	-6448.02753300678	-6336.123410687024	-111.9041223197559	-6336.123410687024	221.451114053804	858.4947660527057	1.312272508429088E-4	0.2612145019257231	0.20766393101515992	0.2758436176816865	0.25527794937743065	0.33043442046797467	2.597941237448624	0.33043442046797467	0.07162434208339971	2.597941237448624	0.07162434208339971	0.0	0.8173412849605229	115.61088308949296	-106.73307764548305	0.4208145780931041	
