#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:HRTV_M_BEAST" spec="beast.base.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:HRTV_M_BEAST" spec="beast.base.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:HRTV_M_BEAST" lower="0.0" name="popSize" spec="beast.base.inference.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:HRTV_M_BEAST" spec="beast.base.evolution.tree.TreeIntervals">
#                <tree id="Tree.t:HRTV_M_BEAST" spec="beast.base.evolution.tree.Tree">
#                    <trait id="dateTrait.t:HRTV_M_BEAST" spec="beast.base.evolution.tree.TraitSet" traitname="date" value="HRTV-23_T_M_2019=2019,HRTV-26_T_M_2019=2019,HRTV-056F_T_M_2023=2023,HRTV-404_T_M_2021=2021,HRTV-100_T_M_2022=2022,HRTV-187_T_M_2022=2022,HRTV-432R_T_M_2023=2023,HRTV-504_T_M_2019=2019,HRTV-642T_T_M_2023=2023,KJ740147_H_M_TN_2013=2013,OQ688997.1_H_M_KY_2017=2017,MZ440343_T_M_NY_2018=2018,MZ440346_T_M_NY_2018=2018,NC_024494_H_M_MO_2009=2009,OQ689000.1_H_M_MO_2017=2017,JX005845_H_M_MO_2009=2009,OQ688982.1_T_M_MO_2012=2012,OQ688988.1_T_M_MO_2012=2012,OQ688985.1_T_M_KS_2015=2015,OQ688992.1_H_M_OK_2017=2017">
#                        <taxa id="TaxonSet.HRTV_M_BEAST" spec="beast.base.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.HRTV_M_BEAST"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="ClockPrior.c:HRTV_M_BEAST" name="distribution">
#            <parameter id="clockRate.c:HRTV_M_BEAST" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="10.0">0.0028166</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="PopSizePrior.t:HRTV_M_BEAST" name="distribution" x="@popSize.t:HRTV_M_BEAST">
#            <OneOnX id="OneOnX.1" name="distr"/>
#        </prior>
#        <prior id="PropInvariantPrior.s:HRTV_M_BEAST" name="distribution">
#            <parameter id="proportionInvariant.s:HRTV_M_BEAST" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#            <Uniform id="Uniform.2" name="distr"/>
#        </prior>
#        <prior id="GammaShapePrior.s:HRTV_M_BEAST" name="distribution">
#            <parameter id="gammaShape.s:HRTV_M_BEAST" lower="0.1" name="x" spec="beast.base.inference.parameter.RealParameter">0.269</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@HRTV_M_BEAST" id="treeLikelihood.HRTV_M_BEAST" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:HRTV_M_BEAST">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:HRTV_M_BEAST" proportionInvariant="@proportionInvariant.s:HRTV_M_BEAST" shape="@gammaShape.s:HRTV_M_BEAST" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:HRTV_M_BEAST" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <substModel id="Standard_TPM2uf.s:HRTV_M_BEAST" spec="substmodels.nucleotide.TPM2uf">
#                    <parameter dimension="3" id="TPM2ufrates.s:HRTV_M_BEAST" lower="0.0" name="rates" spec="beast.base.inference.parameter.RealParameter">1.0 1.0 1.0</parameter>
#                    <frequencies id="TPM2ufFreqs.s:HRTV_M_BEAST" spec="beast.base.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="TPM2uffreqParameter.s:HRTV_M_BEAST" lower="0.0" name="frequencies" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:HRTV_M_BEAST" id="StrictClock.c:HRTV_M_BEAST" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	clockRate	TPM2uffreqParameter.1	TPM2uffreqParameter.2	TPM2uffreqParameter.3	TPM2uffreqParameter.4	RateAC-Standard_TPM2uf	RateAG-Standard_TPM2uf	RateAT-Standard_TPM2uf	RateCG-Standard_TPM2uf	RateCT-Standard_TPM2uf	RateGT-Standard_TPM2uf	proportionInvariant	mutationRate	popSize	CoalescentConstant	gammaShape
12	-74941.98736024965	-74981.39896708257	-74941.98736024965	-39.41160683291265	-74941.98736024965	19.60563591299921	50.83674784387644	3.664827342318255	0.24567948341734905	0.2644515656646086	0.1989744186030452	0.29089453231499723	1.4198808011267707	1.0662633617865	1.4198808011267707	0.5138558370867277	1.0662633617865	0.5138558370867277	0.0	2.966639699666698	2.5640862001595712	-37.770980337528904	0.6990243374834344
13	-73816.85913034623	-73837.06572855599	-73816.85913034623	-20.206598209757974	-73816.85913034623	15.884549729316182	31.206675393593805	6.609674234343196	0.2402836133763639	0.2665401513042858	0.2004447783731426	0.29273145694620784	1.406581905802888	0.9392126530253414	1.406581905802888	0.654205441171769	0.9392126530253414	0.654205441171769	0.0	2.8846898751996313	0.9051344508031864	-19.607245654167944	0.6990243374834344
14	-73769.93783764658	-73778.32217956697	-73769.93783764659	-8.384341920383408	-73769.93783764659	14.453288151242631	22.90661002872384	7.323588404222117	0.2469245008064982	0.26008592835748023	0.2195521103494547	0.27343746048656686	1.4493450862630457	0.9327048219481698	1.4493450862630457	0.6179500917887836	0.9327048219481698	0.6179500917887836	0.0	2.966639699666698	0.7281455079590127	-7.927928713912432	0.7736675836584159
15	-73528.87333799683	-73556.92572630927	-73528.87333799683	-28.052388312437564	-73528.87333799683	15.493862073359042	36.15465293322474	5.19784162271933	0.23602734839575176	0.25391239378926544	0.20809177690704755	0.3019684809079355	1.3997607055239645	1.1633282355599235	1.3997607055239645	0.43691105891611043	1.1633282355599235	0.43691105891611043	0.0	2.8074908372018488	1.4750893771545113	-26.964645392317106	0.6990243374834344
16	-72711.8448904545	-72734.62232255319	-72711.8448904545	-22.777432098700146	-72711.8448904545	15.126091062254194	31.533217839083093	8.735314336081677	0.23602734839575176	0.24627294428438717	0.21573122641192582	0.3019684809079355	1.310954530419919	1.2222339098231512	1.310954530419919	0.46681155975692834	1.2222339098231512	0.46681155975692834	0.0	2.094048346997398	0.9406587351218736	-22.139582628323335	0.6990243374834344
17	-70586.10400236635	-70610.06659441453	-70586.10400236637	-23.962592048165973	-70586.10400236637	14.825422836084083	31.442741389457474	5.229044154545112	0.24567948341734905	0.2644515656646086	0.2004447783731426	0.2894241725448999	1.3067086256949043	1.113217967252431	1.3067086256949043	0.5800734070526633	1.113217967252431	0.5800734070526633	0.0	2.966639699666698	1.280187826783013	-23.016560903842	0.6990243374834344
18	-70000.23360316391	-70016.79329153594	-70000.23360316393	-16.55968837201969	-70000.23360316393	14.135312336202428	26.608681632087727	8.221620016858774	0.23602734839575176	0.25511278765553347	0.20689138304077956	0.3019684809079355	1.310954530419919	1.2222339098231512	1.310954530419919	0.46681155975692834	1.2222339098231512	0.46681155975692834	0.0	2.094048346997398	0.8663886096537103	-16.004085764670442	0.6990243374834344
19	-69071.98599762235	-69093.78580767795	-69071.98599762237	-21.799810055591912	-69071.98599762237	15.565953103739233	30.1583112216328	2.85118874027808	0.23602734839575176	0.24627294428438717	0.21573122641192582	0.3019684809079355	1.2717767664222084	1.2222339098231512	1.2717767664222084	0.5059893237546391	1.2222339098231512	0.5059893237546391	0.0	2.094048346997398	1.2759254874162202	-20.3369733091516	1.2191649586646283
20	-67965.474840486	-67967.28053235475	-67965.474840486	-1.8056918687565366	-67965.474840486	14.363099539262562	20.63141728990044	8.437777540175027	0.2355096443154325	0.25159399775406377	0.221369227979042	0.29152712995146174	1.4829437799633869	0.8392179559654455	1.4829437799633869	0.6778382640711667	0.8392179559654455	0.6778382640711667	0.0	2.966639699666698	0.3126358798956458	-2.2693836199176545	0.6990243374834344
21	-66109.41719194279	-66114.01584154525	-66109.4171919428	-4.59864960243952	-66109.4171919428	14.215913254188267	21.647986228129284	6.40391455016847	0.23966769418588083	0.2704633548960768	0.1989744186030452	0.29089453231499723	1.378223455313302	1.088144530655964	1.378223455313302	0.5336320140307327	1.088144530655964	0.5336320140307327	0.0	2.966639699666698	0.4461734315947479	-4.706672807426734	0.6990243374834344
22	-63674.36283090194	-63693.72827961133	-63674.36283090196	-19.36544870936947	-63674.36283090196	15.18487206847667	28.668418138289645	6.290811996530321	0.24476047727385114	0.25642646742373587	0.2352014099734181	0.26361164532899495	1.4650854038458652	0.8231339172011156	1.4650854038458652	0.7117806789530184	0.8231339172011156	0.7117806789530184	0.0	2.966639699666698	1.194513692363583	-18.61451551296579	0.5731940458446402
23	-62944.651081173586	-62961.56658335211	-62944.651081173586	-16.915502178522853	-62944.651081173586	14.2250881068782	25.668316197068307	4.803894834964276	0.23602734839575176	0.25261981445604287	0.2093843562402701	0.3019684809079355	1.3997607055239645	1.1633282355599235	1.3997607055239645	0.43691105891611043	1.1633282355599235	0.43691105891611043	0.0	2.8074908372018488	1.1245214985198642	-16.099120230512487	0.6990243374834344
