Sample	popsSize0	demographic.alltrees.times.0	demographic.alltrees.times.1	demographic.alltrees.times.2	demographic.alltrees.times.3	demographic.alltrees.times.4	demographic.alltrees.times.5	demographic.alltrees.times.6	demographic.alltrees.times.7	demographic.alltrees.times.8	demographic.alltrees.times.9	demographic.alltrees.times.10	demographic.alltrees.times.11	demographic.alltrees.times.12	demographic.alltrees.times.13	demographic.alltrees.times.14	demographic.alltrees.times.15	demographic.alltrees.times.16	demographic.alltrees.times.17	demographic.alltrees.times.18	
18	5280.0	464.0	2.8747235907989364	3.283543533551864	4.648643062504007	5.797315205814883	6.278188106249843	6.661118041344551	11.343726727753506	370.0	344.0	19.986563142596502	20.219631133276224	20.94314591218022	276.0	64.2925414067278	68.9878162785113	70.99639016738259	831.0	82.64098222387352	
19	5281.0	2.079527624493025	2.4408795846606353	5.169970244717483	5.402848826554333	6.2863545094049655	6.748138268446006	7.02588566722298	12.185927802937329	14.108330947899844	15.057976709480315	17.51441308971897	17.661368456194424	20.75479269238138	27.096345563212708	1588.0	52.2379056136749	64.03349794754364	832.0	64.54158752612321	
20	5287.0	2.350714771986489	761.0	4.480828933687334	4.651647450696117	5.340261672486399	5.964025372615943	6.037237501993985	10.891109357010436	12.697906846725104	14.431350183852743	14.55508676986787	369.0	18.73516456838719	23.754724299385785	45.81479807577753	1023.0	1192.0	65.95852160822567	66.6997185686367	
21	5288.0	466.0	2.432945745982579	3.565932146902213	4.644549386976749	5.3370854156291045	5.657247518641057	7.201976210328624	12.250248676926333	12.304723898270282	14.813536551076268	15.986504564717379	17.153726586813477	20.97662616413953	278.0	1590.0	65.2612074283159	1193.0	70.14027343353766	70.62276045369062	
22	5289.0	0.8713414275018039	3.429885076338479	3.6727337461165206	4.230625145895672	5.352627783871952	6.026213386817332	6.710623676253519	11.507659407072694	12.345023226205498	17.085848710468994	20.15550661015382	22.46630176949388	26.155597981673566	28.794240555494703	1591.0	73.20575001625615	1194.0	80.59005099055614	84.66689494150515	
23	5291.0	2.13313302251035	2.541783863281495	2.6835045673493028	4.143192754474782	4.3006204332127425	382.0	6.069512389598444	486.0	12.338656020479647	14.232589768085006	24.410818572494286	27.593802131371156	27.833555606900454	36.911266041312146	1593.0	82.54653506821275	1196.0	84.19681603629532	86.88556101986208	
24	5291.0	2.13313302251035	2.541783863281495	2.6835045673493028	4.143192754474782	4.3006204332127425	382.0	6.069512389598444	486.0	12.338656020479647	14.232589768085006	24.410818572494286	27.593802131371156	27.833555606900454	36.911266041312146	1593.0	82.54653506821275	1196.0	84.19681603629532	86.88556101986208	
25	5299.0	2.0127197297750143	2.573248669563938	604.0	2.712947232159422	4.16368022945349	5.879764339263858	6.463519876014942	10.516095321490056	12.334357016542668	14.827551904669875	18.0651110972681	18.735220864162102	20.68335353707195	25.420769749789827	1596.0	68.1742514969406	83.386039568615	838.0	84.20164368798122	
26	5304.0	1.8039179910643668	2.0901732990604387	2.74245128474071	5.024270796894001	5.238542321284768	5.855201072495248	6.011397887811711	13.112167468967442	14.56392540434193	15.041341875223068	22.25083302380395	23.586876604085703	27.332721365840122	27.966393215691483	72.34025222597964	1026.0	1201.0	86.09620198102876	87.81432835624575	
27	5309.0	2.738713303390597	3.155163358775013	5.034178959535637	5.109762223370836	6.648625449432032	383.0	9.902984000608022	13.727906315158044	14.738430746929545	14.763955053600995	19.510970474602658	20.538093796734522	21.264460079214317	22.412314830997175	1601.0	67.5114801005121	73.56289543571921	841.0	73.6753956153699	
