Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	TIM3uffreqParameter.1	TIM3uffreqParameter.2	TIM3uffreqParameter.3	TIM3uffreqParameter.4	RateAC-Standard_TIM3uf	RateAG-Standard_TIM3uf	RateAT-Standard_TIM3uf	RateCG-Standard_TIM3uf	RateCT-Standard_TIM3uf	RateGT-Standard_TIM3uf	fastUcldStdev	fastRatesStat.mean	fastRatesStat.variance	fastRatesStat.coefficientOfVariation	fastUcldMean	popSize	CoalescentConstant	proportionInvariant	
0	-11422.76938110191	-11484.425185421913	61.65580432000125	-11484.425185421913	0.25939016472204984	1.8430842545149289	0.30287892704636354	0.20678414526610991	0.2565377108662302	0.23379921682129648	0.07573504209034528	2.084810579175214	0.4057843524734678	0.07573504209034528	2.952150631697161	0.4057843524734678	0.04268426368447513	0.03425383101283676	2.9541422769538153E-6	0.0502649235670569	0.03414038081852712	0.3911711344307431	-0.21945252306424112	0.8542419459436689	
1	-11235.336011669167	-11483.804592844259	248.46858117509106	-11483.804592844259	0.5843597775216983	3.933247646858007	0.30117892901284665	0.21334098622749248	0.2536684118020404	0.23181167295762056	0.11981782127126367	2.001802392608448	0.396324741868986	0.11981782127126367	2.9659124811110535	0.396324741868986	2.8731331407149513E-4	0.018774414226950056	2.8542507478352065E-11	2.845537128741139E-4	0.01877473262134324	0.6853484781002962	-13.295409549380372	0.8542419459436689	
2	-11354.932660202903	-11481.77135157739	126.83869137448744	-11481.77135157739	1.5321472328430636	9.9941840872793	0.29960556869307386	0.20831297772441937	0.24811828897720598	0.24396316460530085	0.12063155721819648	2.0627966705358007	0.3618941832101214	0.12063155721819648	2.9721518486075644	0.3618941832101214	0.0040286244306777155	0.006627679742126582	7.278877848267336E-10	0.0040681249850918815	0.0066378117515501385	2.417287551189937	-31.497814709525993	0.7041570524831844	
3	-11437.13540840292	-11481.656188371406	44.5207799684858	-11481.656188371406	0.24543043559144426	1.583373996117484	0.3011630896856443	0.21185039940177378	0.2474138641887651	0.23957264672381692	0.10208705475122457	2.0451894250339153	0.23269521790487124	0.10208705475122457	3.2852460296538943	0.23269521790487124	0.079060076761911	0.0447774102622905	1.3864887241258607E-5	0.08543954622106674	0.04435158176552893	0.4143020772036079	3.6200651162092954	0.775746132501352	
4	-11422.148194015943	-11481.138379686696	58.99018567075282	-11481.138379686696	0.21996024810090342	1.497032761947694	0.30042519048422883	0.21801479044279543	0.2450449747297251	0.23651504434325077	0.10320943588088505	2.129900360931715	0.2614720727162835	0.10320943588088505	3.140736621873949	0.2614720727162835	0.06354329540426365	0.045624987311071404	7.674396288514688E-6	0.062390390503552086	0.04417180416477928	0.36622507982675345	4.328332247264711	0.775746132501352	
5	-11422.148194015943	-11481.138379686696	58.99018567075282	-11481.138379686696	0.21996024810090342	1.497032761947694	0.30042519048422883	0.21801479044279543	0.2450449747297251	0.23651504434325077	0.10320943588088505	2.129900360931715	0.2614720727162835	0.10320943588088505	3.140736621873949	0.2614720727162835	0.06354329540426365	0.045624987311071404	7.674396288514688E-6	0.062390390503552086	0.04417180416477928	0.36622507982675345	4.328332247264711	0.775746132501352	
6	-11370.447548481507	-11480.953898618658	110.50635013715187	-11480.953898618658	1.8270330980183767	11.49248671153787	0.3036039729157878	0.20831297772441937	0.24811828897720598	0.23996476038258696	0.09441233918985631	2.150137538686182	0.2676958401304451	0.09441233918985631	3.1256461026732163	0.2676958401304451	0.006949627061896765	0.005927007303572671	1.0799986663594926E-9	0.005541866034320745	0.005929699373626266	3.3384096889296635	-34.62498874209596	0.7041570524831844	
7	-11429.186298532024	-11480.545363969595	51.35906543757161	-11480.545363969595	0.17598714418957123	1.2382233149505255	0.3045149658235603	0.21257741238125918	0.2422736292065132	0.24063399258866744	0.10687001305291578	2.1203319584766205	0.22903464073284052	0.10687001305291578	3.207858733951868	0.22903464073284052	0.08805998635133012	0.05523572066762321	1.965840079897234E-5	0.08015544831079251	0.05587301133995007	0.20841467329928076	6.87525464701589	0.775746132501352	
8	-11451.10026616968	-11480.528593500445	29.42832733076436	-11480.528593500445	0.1889436675627318	1.2105973521859419	0.3034174029314923	0.21640440330053654	0.2383203697264916	0.24185782404147968	0.08937948830724324	2.066707820491448	0.3049473255805754	0.08937948830724324	3.1446385517329154	0.3049473255805754	0.12388567698566322	0.058401036081729904	7.739509020237995E-5	0.1472759321684446	0.05966211914554605	0.20520451464168132	10.260725407581736	0.8542419459436689	
9	-11451.10026616968	-11480.528593500445	29.42832733076436	-11480.528593500445	0.1889436675627318	1.2105973521859419	0.3034174029314923	0.21640440330053654	0.2383203697264916	0.24185782404147968	0.08937948830724324	2.066707820491448	0.3049473255805754	0.08937948830724324	3.1446385517329154	0.3049473255805754	0.12388567698566322	0.058401036081729904	7.739509020237995E-5	0.1472759321684446	0.05966211914554605	0.20520451464168132	10.260725407581736	0.8542419459436689	
