Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	RateAC-Standard_TPM3	RateAG-Standard_TPM3	RateAT-Standard_TPM3	RateCG-Standard_TPM3	RateCT-Standard_TPM3	RateGT-Standard_TPM3	proportionInvariant	fastUcldStdev	fastRatesStat.mean	fastRatesStat.variance	fastRatesStat.coefficientOfVariation	fastUcldMean	popSize	CoalescentConstant	
0	-3309.4020687573607	-3451.630114809279	142.22804605191808	-3451.630114809279	7.974895946173192	37.761364006346625	0.6331479058946808	1.9748544419185952	0.39199765218672333	0.6331479058946808	1.9748544419185952	0.39199765218672333	0.7763208300351835	0.0014374176755342957	0.002920220074388775	1.8897830860521554E-11	0.001488353038310994	0.0029202880254720373	7.34857388452147	-55.03764332318621	
1	-3433.9116892735883	-3450.7087930471766	16.797103773588315	-3450.7087930471766	2.174301634779519	8.764617470781962	0.3139371089064282	2.071412614152189	0.6146502769413814	0.3139371089064282	2.071412614152189	0.6146502769413814	0.8131975890880123	0.08450842055901207	0.011170231605036315	8.201790982251026E-7	0.087440816867746	0.010355673710258497	1.419193690736058	-25.355535354589936	
2	-3448.5535735581857	-3450.507126958214	1.9535534000282435	-3450.507126958214	4.036006979118803	18.847448779919752	0.25364944693136454	2.164656595687987	0.5816939573806484	0.25364944693136454	2.164656595687987	0.5816939573806484	0.7587841355278641	0.09725946712066343	0.005511245277810681	2.1663114270738222E-7	0.0819970467240278	0.00566645015385301	2.974516151147692	-40.948221738926954	
3	-3307.591161287011	-3449.941452030517	142.35029074350632	-3449.941452030517	2.75797434351696	12.510992625973707	0.117779654863255	2.2135844033883907	0.6686359417483531	0.117779654863255	2.2135844033883907	0.6686359417483531	0.7587841355278641	0.0028066234948212632	0.009582682590185701	6.270239940700212E-10	0.0026124396891752566	0.009588136928270149	2.387224324559018	-33.0533059406079	
4	-3440.1111732781956	-3449.7996075217698	9.688434243574097	-3449.7996075217698	1.5378742458835468	7.686724457364665	0.14703430123148778	1.8472624884531141	1.0057032103153976	0.14703430123148778	1.8472624884531141	1.0057032103153976	0.6986263622239947	0.09435603427596034	0.013024395505328317	2.1052089928026033E-6	0.11069630700320039	0.013205580054305008	1.1546684824095688	-22.71195726498502	
5	-3508.773800564504	-3449.4639065070537	-59.309894057450684	-3449.4639065070537	10.303072321596924	40.439739976130724	0.11694118220314428	2.2082281136220967	0.6748307041747579	0.11694118220314428	2.2082281136220967	0.6748307041747579	0.7587841355278641	0.3352056730172452	0.0021175282758009086	5.233052884853931E-7	0.30852420147647563	0.0022771583100398853	4.878499881767005	-51.515466509314045	
6	-3377.281388853607	-3449.3727544717995	72.09136561819221	-3449.3727544717995	1.7117230132130379	8.082129027164013	0.23067624271075074	2.055115965384248	0.7142077919050002	0.23067624271075074	2.055115965384248	0.7142077919050002	0.7587841355278641	0.019403161134537425	0.012554781748269158	6.94522894297704E-8	0.021016160209390684	0.012536599921754347	1.4565659259363037	-23.598274929465138	
7	-3436.147319972666	-3449.1363897293318	12.9890697566657	-3449.1363897293318	0.7083520299964702	3.8275228727908526	0.2312231134314517	2.0649340256310205	0.7038428609375269	0.2312231134314517	2.0649340256310205	0.7038428609375269	0.7587841355278641	0.11988874831960952	0.030805731492538936	1.3815789007414443E-5	0.12395513715368224	0.029867178098111263	0.8722139454047863	-14.003070589211633	
8	-3310.9950311907014	-3448.6963193372285	137.7012881465272	-3448.6963193372285	8.644481663947843	37.83809059182975	0.21596822728306225	2.186620303157054	0.5974114695598824	0.21596822728306225	2.186620303157054	0.5974114695598824	0.7587841355278641	0.002025006551607934	0.002560590452130059	1.8451725040929135E-11	0.0016784563188392168	0.002558148561228624	7.749995320425775	-53.00354128179466	
9	-3441.4250468980485	-3448.2316737084407	6.806626810392165	-3448.2316737084407	0.5586388821504085	3.134257901926563	0.05503535364901037	2.024554017427098	0.9204106289238908	0.05503535364901037	2.024554017427098	0.9204106289238908	0.6163720249776355	0.1475094828550507	0.03078309664750184	2.805215382785039E-5	0.17377740523022003	0.029909132115454092	0.5807796049208086	-8.231581036716166	
