#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="demographic.alltrees" spec="beast.base.evolution.tree.coalescent.CompoundPopulationFunction">
#    <parameter id="popSizes.alltrees" lower="0.0" name="populationSizes" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#    <populationIndicators id="indicators.alltrees" spec="beast.base.inference.parameter.BooleanParameter">false</populationIndicators>
#    <itree id="treeIntervals.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.TreeIntervals">
#        <tree id="Tree.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.Tree">
#            <trait id="dateTrait.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.TraitSet" traitname="date" value="HRTV-23_T_S_2019=2019,HRTV-26_T_S_2019=2019,HRTV-404_T_S_2021=2021,HRTV-100_T_S_2022=2022,HRTV-187_T_S_2022=2022,HRTV-056F_T_S_2023=2023,HRTV-504_T_S_2019=2019,HRTV-432R_T_S_2023=2023,HRTV-642T_T_S_2023=2023,JX005843_H_S_MO_2009=2009,OQ688983.1_T_S_MO_2012=2012,OQ688989.1_T_S_MO_2012=2012,OQ688986.1_T_S_KS_2015=2015,OQ688993.1_H_S_OK_2017=2017,MZ440341_T_S_NY_2018=2018,MZ440344_T_S_NY_2018=2018,NC_024496_H_S_MO_2009=2009,KJ740146_H_S_TN_2013=2013,OQ688998.1_H_S_KY_2017=2017,OQ689001.1_H_S_MO_2017=2017">
#                <taxa id="TaxonSet.HRTV_S_BEAST" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxa>
#            </trait>
#            <taxonset idref="TaxonSet.HRTV_S_BEAST"/>
#        </tree>
#    </itree>
#</input>
#
Sample	NSlikelihood	popsSize0	demographic.alltrees.times.0	demographic.alltrees.times.1	demographic.alltrees.times.2	demographic.alltrees.times.3	demographic.alltrees.times.4	demographic.alltrees.times.5	demographic.alltrees.times.6	demographic.alltrees.times.7	demographic.alltrees.times.8	demographic.alltrees.times.9	demographic.alltrees.times.10	demographic.alltrees.times.11	demographic.alltrees.times.12	demographic.alltrees.times.13	demographic.alltrees.times.14	demographic.alltrees.times.15	demographic.alltrees.times.16	demographic.alltrees.times.17	demographic.alltrees.times.18
10	-6098.782322617397	0:1.30201529349153	0.204505868992781	1.0982137915232624	1.1124440350884903	2.118660477110817	2.363286230043917	4.065008817411659	4.123187821892746	4.124002914163302	6.029800367693447	6.136142996310138	6.335017796091087	6.425538534219815	8.665375945818727	8.93811659557417	11.456164065516017	12.137593547674529	12.36476524699559	14.407463342885437	16.102286498542096
11	-6098.168897316587	0:0.1478033607435712	0.0144558798121448:1.3977439475778468	0.16639214802598623	1.995176692382092	2.288183069310387	2.7347956538419407	4.003563698590115	4.507879316471479	4.5938308048308105	5.257535302035	5.463985588954754	6.239741108741187	6.32736636403876	6.405497627898887:0.22326139985224747	8.42330212572549	10.265754070014117	11.264668900423667	11.318448259652282	14.110354421771623	14.492293827397488
12	-6074.599061345233	0:1.6160011784160802	0.7644065130635571	1.3971748695395991:2.739971217580976	1.9121748102688905	1.9298761725517792	2.267807777814985	4.454520839044996	4.900230317884574:0.5226769531865122	4.994715206157796:0.10801409317018663	5.209508970394314	5.475985901773898	6.147693300369651	6.677986596295031	7.453370217282757:1.8004261949652962	8.183857841882096	10.143007913622498	11.458755156163775	11.643614258020232:0.18176154761652366	14.057871962174495	14.071278912135966
13	-6050.2901429249705	0:0.36991255680892543	0.19533462517932954	0.4392605696992806	1.100161476085443	1.811870317046317	2.0501270234786073	4.052865601753302	4.377735738875243	4.667201024037704	5.551159337124199	5.582768385741192	6.013541913806867	6.052532491782788	6.1537228911903075	8.135910802690686	10.023354341368378	11.108350846970433	11.319677589789768	14.146406914710855	15.611333982343494
14	-6027.589943706583	0:1.224869703994462	0.5767413863173214	0.9281823558726483	1.326768721399171	1.7556888598294424	3.29111216583353	4.083902867668508	4.5479380665907545	5.22479932440417	5.310016440890431	5.3279365700423895	6.116086103325227	7.031889911488195	7.345020151526247	8.352638406032217	11.19727425301554	11.530433780374997	12.884432270474361	14.105940331631746	15.271561088888184
15	-6002.771692438241	0:0.7547938047425052	0.2905267534659792	1.2525389058223482	1.399046252787052	2.2981544276028885	2.6615413323233703	4.068901861717951	4.511764603829679	5.831041871392095	6.150565263165296	6.306001883868085	6.381438732238911	7.04784522548724	7.888477579972804:1.586753880147889	8.907128986472445	11.08584037501586	12.87124691101171	14.214901211326964	14.551108593640919	16.556237329574365
16	-5934.8412657703975	0:0.8112246564038041	0.0981949577656458	0.3547255254887993	1.3970853498749705	1.6336754669526705	4.037446630004101	4.139838374750637	4.496173602348076	5.10693923446615	5.509946726063109:1.113535347863203	5.979089214836309	6.292456607847299	6.3489023961060855	7.816917470866121	9.698853925318884	11.387191700593583	11.933131264698323	12.521028132900511	14.397329704987975	18.023818169810518
17	-5908.389423307662	0:0.28982347213389914	0.0899217389371092	0.4797270076760114	1.0453931296348387	1.120621653053675	2.247114199340297	4.171339412860691	4.324999329133524	4.492213278869864	5.140359831656999	5.579440877527366	6.071383793234913	6.07142443734752	6.325851489008458	8.791829653373158	10.430137283149492	11.19654743349697	11.826763662850569	14.155405074052844	14.30326534989946
18	-5885.171426132961	0:1.7037433008428045	1.4490703344250555	1.7466364172794542	1.891733423750182	2.127766862932342	2.6649751258805967	4.216892806610662	5.507980530280532	5.572958158202885	5.837512478774141	6.149240806865965	6.405213369735595	6.509787695945269	8.028761950511932	8.675207600307647	11.439416789259358	11.748479443792295	12.663418454096691	14.061018323287392	15.677121760955073
19	-5800.795778356042	0:0.7565487092772718	0.659265116501583	1.2883892239878474	1.4407821710807092	2.1738835995079935	2.620698545198376	4.3541673401429275	4.397322980833886	4.837794747070765	5.172949700914794	5.42073739858027	6.136743906339765	6.615796835575788	6.719000181267452	8.08940846229572	10.097173833223787	11.292718358582455	11.91766209499065	14.011068810792954	14.06449530723876
